material,scenario,destination state,origin state,SCTG code,domestic mode,domestic mode efficiency,domestic distance (km),return trip factor,GWP(kg CO2 eq),GWP_fossil(kg CO2 eq),GWP_biogenic(kg CO2 eq),GWP_luluc(kg CO2 eq),AP(kg SO2 eq),EP(kg N eq),ODP(kg CFC-11 eq),POCP(kg O3 eq),CO2(kg),CH4(kg),CH4 fossil(kg),N2O(kg)
Piping,Regional_c,,,33,Barge,High,361.9797131855338,1.5,65.88441192575524,0.0,0.0,0.0,0.4548304054553287,0.05775241531989918,1.428009968516931e-07,15.81300323002386,65.61688104527323,0.0077644648478297,0.0,0.00018569559286417886
Piping,Local,,,33,Truck,Low,11.572603548387097,1.5,1.626989231409991,0.0,0.0,0.0,0.013467160261595322,0.0015675091506290324,3.523857780483871e-09,0.4685976777196335,1.6200937534487023,0.00020657097333870965,0.0,4.166137277419354e-06
Piping,Local,,,33,Truck,Median,11.572603548387097,1.5,1.8402652555186005,0.0,0.0,0.0,0.01614904169831274,0.0018295244675680645,3.975189318870968e-09,0.5631179587354045,1.829240527953703,0.00034891399698387096,0.0,4.704263342419354e-06
Piping,Local,,,33,Truck,High,11.572603548387097,1.5,2.1063450559854835,0.0,0.0,0.0,0.014541068939376775,0.0018463626057309676,4.5653920998387105e-09,0.5055466111070008,2.097792010872752,0.00024823234611290323,0.0,5.936745620322582e-06
Piping,Local,,,33,Rail,Low,4.82802,1.0,0.0729382741257,0.0,0.0,0.0,0.00023705578200000003,5.117701200000001e-05,1.67532294e-10,0.0084995602293,0.07214120181984,1.2745972800000003e-05,0.0,1.6560108600000001e-06
Piping,Local,,,33,Rail,Median,4.82802,1.0,0.09117284145012002,0.0,0.0,0.0,0.00029644042800000005,6.421266600000001e-05,2.09536068e-10,0.01062445390764,0.09017650710282002,1.5932466e-05,0.0,2.0712205800000003e-06
Piping,Local,,,33,Rail,High,4.82802,1.0,0.10940741360256001,0.0,0.0,0.0,0.000355825074,7.6765518e-05,2.5105704e-10,0.01274934275796,0.10821180755778001,1.9118959200000002e-05,0.0,2.4864303000000003e-06
Piping,Local,,,33,Air,Low,1022.7623923333333,1.0,682.6590094345352,0.0,0.0,0.0,1.6592570891917444,0.556989239527987,2.1478010239e-06,51.79694019378732,679.3281546051257,0.10043526692713334,0.0,0.00190233804974
Piping,Local,,,33,Air,Median,1022.7623923333333,1.0,853.3237615374783,0.0,0.0,0.0,2.074071105799082,0.6962362937193857,2.6796374679133334e-06,64.74617473085294,849.1601940234789,0.12556249338197864,0.0,0.002383036374136667
Piping,Local,,,33,Air,High,1022.7623923333333,1.0,1023.9885136404214,0.0,0.0,0.0,2.4888861451688125,0.8354843706731767,3.22170153585e-06,77.69541029068098,1018.9922324190699,0.150674378400939,0.0,0.0028637346985333333
Piping,Local,,,33,Barge,Low,11.572603548387097,1.5,1.626989231409991,0.0,0.0,0.0,0.013467160261595322,0.0015675091506290324,3.523857780483871e-09,0.4685976777196335,1.6200937534487023,0.00020657097333870965,0.0,4.166137277419354e-06
Piping,Local,,,33,Barge,Median,11.572603548387097,1.5,1.8402652555186005,0.0,0.0,0.0,0.01614904169831274,0.0018295244675680645,3.975189318870968e-09,0.5631179587354045,1.829240527953703,0.00034891399698387096,0.0,4.704263342419354e-06
Piping,Local,,,33,Barge,High,11.572603548387097,1.5,2.1063450559854835,0.0,0.0,0.0,0.014541068939376775,0.0018463626057309676,4.5653920998387105e-09,0.5055466111070008,2.097792010872752,0.00024823234611290323,0.0,5.936745620322582e-06
Piping,National,Colorado,,33,Truck,Low,1954.408418255034,1.0,183.1798371606794,0.0,0.0,0.0,1.516243731741183,0.17648308016842956,3.967449089057719e-07,52.75858293429876,182.40348750469596,0.0232574601772349,0.0,0.00046905802038120807
Piping,National,Colorado,,33,Truck,Median,1954.408418255034,1.0,207.19220713354952,0.0,0.0,0.0,1.8181920147279127,0.20598292083357103,4.475595277804028e-07,63.40045403620252,205.95095257507364,0.03928360920692618,0.0,0.0005296446813471142
Piping,National,Colorado,,33,Truck,High,1954.408418255034,1.0,237.1496608033749,0.0,0.0,0.0,1.6371532085365308,0.2078786969992784,5.14009414001074e-07,56.918597930398725,236.18668859634911,0.027948040381046986,0.0,0.0006684076790432216
Piping,National,Colorado,,33,Rail,Low,1954.408418255034,1.0,183.1798371606794,0.0,0.0,0.0,1.516243731741183,0.17648308016842956,3.967449089057719e-07,52.75858293429876,182.40348750469596,0.0232574601772349,0.0,0.00046905802038120807
Piping,National,Colorado,,33,Rail,Median,1954.408418255034,1.0,207.19220713354952,0.0,0.0,0.0,1.8181920147279127,0.20598292083357103,4.475595277804028e-07,63.40045403620252,205.95095257507364,0.03928360920692618,0.0,0.0005296446813471142
Piping,National,Colorado,,33,Rail,High,1954.408418255034,1.0,237.1496608033749,0.0,0.0,0.0,1.6371532085365308,0.2078786969992784,5.14009414001074e-07,56.918597930398725,236.18668859634911,0.027948040381046986,0.0,0.0006684076790432216
Piping,National,Colorado,,33,Air,Low,3867.24402,1.0,2581.253467789234,0.0,0.0,0.0,6.2739421237225805,2.10607402258386,8.121212442e-06,195.85331717343516,2568.6589213754437,0.379763362764,0.0,0.0071930738772000005
Piping,National,Colorado,,33,Air,Median,3867.24402,1.0,3226.566833769731,0.0,0.0,0.0,7.842426687842219,2.63259156141882,1.01321793324e-05,244.8166445331719,3210.823654619737,0.47477381384735995,0.0,0.0090106785666
Piping,National,Colorado,,33,Air,High,3867.24402,1.0,3871.8801997502283,0.0,0.0,0.0,9.41091511920588,3.1591129674978,1.2181818663000001e-05,293.77997576015275,3852.9883839967874,0.5697262562704201,0.0,0.010828283256
Piping,National,Colorado,,33,Barge,Low,1954.408418255034,1.0,183.1798371606794,0.0,0.0,0.0,1.516243731741183,0.17648308016842956,3.967449089057719e-07,52.75858293429876,182.40348750469596,0.0232574601772349,0.0,0.00046905802038120807
Piping,National,Colorado,,33,Barge,Median,1954.408418255034,1.0,207.19220713354952,0.0,0.0,0.0,1.8181920147279127,0.20598292083357103,4.475595277804028e-07,63.40045403620252,205.95095257507364,0.03928360920692618,0.0,0.0005296446813471142
Piping,National,Colorado,,33,Barge,High,1954.408418255034,1.0,237.1496608033749,0.0,0.0,0.0,1.6371532085365308,0.2078786969992784,5.14009414001074e-07,56.918597930398725,236.18668859634911,0.027948040381046986,0.0,0.0006684076790432216
Piping,Regional,Colorado,,33,Truck,Low,32.53713251700681,1.5,4.574386740614473,0.0,0.0,0.0,0.03786380274993225,0.004407154599428573,9.907556851428574e-09,1.3174930492845194,4.554999652889877,0.0005807878154285716,0.0,1.171336770612245e-05
Piping,Regional,Colorado,,33,Truck,Median,32.53713251700681,1.5,5.174026245252073,0.0,0.0,0.0,0.04540408798795348,0.005143827816746124,1.117650501959184e-08,1.583243007459099,5.143029501931252,0.0009809945453877554,0.0,1.3226344368163266e-05
Piping,Regional,Colorado,,33,Truck,High,32.53713251700681,1.5,5.922127024103718,0.0,0.0,0.0,0.0408831673046792,0.005191169344558369,1.2835898777959188e-08,1.4213773944934576,5.898079577814446,0.0006979214924897961,0.0,1.6691548981224493e-05
Piping,Regional,Colorado,,33,Rail,Low,32.53713251700681,1.5,4.574386740614473,0.0,0.0,0.0,0.03786380274993225,0.004407154599428573,9.907556851428574e-09,1.3174930492845194,4.554999652889877,0.0005807878154285716,0.0,1.171336770612245e-05
Piping,Regional,Colorado,,33,Rail,Median,32.53713251700681,1.5,5.174026245252073,0.0,0.0,0.0,0.04540408798795348,0.005143827816746124,1.117650501959184e-08,1.583243007459099,5.143029501931252,0.0009809945453877554,0.0,1.3226344368163266e-05
Piping,Regional,Colorado,,33,Rail,High,32.53713251700681,1.5,5.922127024103718,0.0,0.0,0.0,0.0408831673046792,0.005191169344558369,1.2835898777959188e-08,1.4213773944934576,5.898079577814446,0.0006979214924897961,0.0,1.6691548981224493e-05
Piping,Regional,Colorado,,33,Air,Low,2470.3369,1.0,1648.865615088004,0.0,0.0,0.0,4.0076991926401,1.3453281833817,5.18770749e-06,125.10813227683019,1640.8204096176885,0.24258708357999997,0.0,0.004594826634
Piping,Regional,Colorado,,33,Air,Median,2470.3369,1.0,2061.0820182424204,0.0,0.0,0.0,5.0096233732158995,1.6816596116429,6.472282678e-06,156.38516411086928,2051.025513874863,0.30327832053919995,0.0,0.005755884977
Piping,Regional,Colorado,,33,Air,High,2470.3369,1.0,2473.298421396837,0.0,0.0,0.0,6.011550024128599,2.017993510241,7.781561235e-06,187.66219841524529,2461.230615661701,0.3639325024449,0.0,0.006916943319999999
Piping,Regional,Colorado,,33,Barge,Low,32.53713251700681,1.5,4.574386740614473,0.0,0.0,0.0,0.03786380274993225,0.004407154599428573,9.907556851428574e-09,1.3174930492845194,4.554999652889877,0.0005807878154285716,0.0,1.171336770612245e-05
Piping,Regional,Colorado,,33,Barge,Median,32.53713251700681,1.5,5.174026245252073,0.0,0.0,0.0,0.04540408798795348,0.005143827816746124,1.117650501959184e-08,1.583243007459099,5.143029501931252,0.0009809945453877554,0.0,1.3226344368163266e-05
Piping,Regional,Colorado,,33,Barge,High,32.53713251700681,1.5,5.922127024103718,0.0,0.0,0.0,0.0408831673046792,0.005191169344558369,1.2835898777959188e-08,1.4213773944934576,5.898079577814446,0.0006979214924897961,0.0,1.6691548981224493e-05
Piping,Regional_c,Colorado,,33,Truck,Low,447.88584635135135,1.5,62.968151105129664,0.0,0.0,0.0,0.5212094622004542,0.06066613788829053,1.363812402139865e-07,18.135786524285376,62.70128056301044,0.007994762357371621,0.0,0.00016123890468648647
Piping,Regional_c,Colorado,,33,Truck,Median,447.88584635135135,1.5,71.2224140430188,0.0,0.0,0.0,0.6250043197773019,0.07080672133553148,1.538487882216892e-07,21.79393448408621,70.79573223234833,0.013503758267493244,0.0,0.0001820655965418243
Piping,Regional_c,Colorado,,33,Truck,High,447.88584635135135,1.5,81.52030216567188,0.0,0.0,0.0,0.5627721490272437,0.0714583952419727,1.7669096638560814e-07,19.56579354325797,81.18928003800806,0.009607151404236488,0.0,0.00022976543917824327
Piping,Regional_c,Colorado,,33,Rail,Low,447.88584635135135,1.5,62.968151105129664,0.0,0.0,0.0,0.5212094622004542,0.06066613788829053,1.363812402139865e-07,18.135786524285376,62.70128056301044,0.007994762357371621,0.0,0.00016123890468648647
Piping,Regional_c,Colorado,,33,Rail,Median,447.88584635135135,1.5,71.2224140430188,0.0,0.0,0.0,0.6250043197773019,0.07080672133553148,1.538487882216892e-07,21.79393448408621,70.79573223234833,0.013503758267493244,0.0,0.0001820655965418243
Piping,Regional_c,Colorado,,33,Rail,High,447.88584635135135,1.5,81.52030216567188,0.0,0.0,0.0,0.5627721490272437,0.0714583952419727,1.7669096638560814e-07,19.56579354325797,81.18928003800806,0.009607151404236488,0.0,0.00022976543917824327
Piping,Regional_c,Colorado,,33,Air,Low,2779.33018,1.0,1855.10808941823,0.0,0.0,0.0,4.50898795158922,1.51360376071674,5.8365933780000005e-06,140.75683677008843,1846.0565781171,0.272930223676,0.0,0.0051695541348
Piping,Regional_c,Colorado,,33,Air,Median,2779.33018,1.0,2318.8851110779547,0.0,0.0,0.0,5.63623424465398,1.89200400606338,7.2818450716e-06,175.94604457294542,2307.5707247308724,0.34121280753823996,0.0,0.0064758393194
Piping,Regional_c,Colorado,,33,Air,High,2779.33018,1.0,2782.6621327376797,0.0,0.0,0.0,6.7634833170489195,2.2704070307402,8.754890067e-06,211.13525515513268,2769.0848685653145,0.40945370144778004,0.0,0.007782124503999999
Piping,Regional_c,Colorado,,33,Barge,Low,447.88584635135135,1.5,62.968151105129664,0.0,0.0,0.0,0.5212094622004542,0.06066613788829053,1.363812402139865e-07,18.135786524285376,62.70128056301044,0.007994762357371621,0.0,0.00016123890468648647
Piping,Regional_c,Colorado,,33,Barge,Median,447.88584635135135,1.5,71.2224140430188,0.0,0.0,0.0,0.6250043197773019,0.07080672133553148,1.538487882216892e-07,21.79393448408621,70.79573223234833,0.013503758267493244,0.0,0.0001820655965418243
Piping,Regional_c,Colorado,,33,Barge,High,447.88584635135135,1.5,81.52030216567188,0.0,0.0,0.0,0.5627721490272437,0.0714583952419727,1.7669096638560814e-07,19.56579354325797,81.18928003800806,0.009607151404236488,0.0,0.00022976543917824327
Piping,Local,Colorado,,33,Truck,Low,8.454399466666667,1.5,1.1886017552396095,0.0,0.0,0.0,0.0098384734305544,0.0011451484077600002,2.5743646376e-09,0.3423354079338752,1.1835642435893936,0.00015091103047999997,0.0,3.0435838079999997e-06
Piping,Local,Colorado,,33,Truck,Median,8.454399466666667,1.5,1.3444111802266017,0.0,0.0,0.0,0.011797729780557601,0.0013365644660848,2.9040862168000003e-09,0.41138747647382723,1.3363570331666856,0.00025490014392,0.0,3.4367133831999997e-06
Piping,Local,Colorado,,33,Truck,High,8.454399466666667,1.5,1.5387965589144865,0.0,0.0,0.0,0.0106230205650624,0.0013488656173087999,3.3352605896000005e-09,0.36932855959745203,1.5325481067198607,0.00018134686856,0.0,4.3371069264e-06
Piping,Local,Colorado,,33,Rail,Low,8.454399466666667,1.5,1.1886017552396095,0.0,0.0,0.0,0.0098384734305544,0.0011451484077600002,2.5743646376e-09,0.3423354079338752,1.1835642435893936,0.00015091103047999997,0.0,3.0435838079999997e-06
Piping,Local,Colorado,,33,Rail,Median,8.454399466666667,1.5,1.3444111802266017,0.0,0.0,0.0,0.011797729780557601,0.0013365644660848,2.9040862168000003e-09,0.41138747647382723,1.3363570331666856,0.00025490014392,0.0,3.4367133831999997e-06
