city,Zip Code,spatial resolution,year,cambium_scenario,qty,unit,GWP(kg CO2 eq),GWP_fossil(kg CO2 eq),GWP_biogenic(kg CO2 eq),GWP_luluc(kg CO2 eq),AP(kg SO2 eq),EP(kg N eq),ODP(kg CFC-11 eq),POCP(kg O3 eq),CO2(kg),CH4(kg),N2O(kg)
Seattle,98174,Local,2045,HighNGPrice,1,MWh,303.02096928992665,0.0,0.0,0.0,0.7200206429927944,0.04620115115443978,3.268519022874742e-06,15.866543525297555,288.0669856584062,0.3453182786983635,0.0035756489100548113
Seattle,98174,Local,2045,Decarb95by2050,1,MWh,325.65310305620295,0.0,0.0,0.0,0.7266499723388731,0.04413658677693831,3.197303069066897e-06,16.41740337987643,307.5697906889116,0.3334689155038466,0.0034929366931649897
Seattle,98174,Local,2045,Decarb100by2035,1,MWh,299.86808789099587,0.0,0.0,0.0,0.7698924226971963,0.04720518186263158,3.7053470435887726e-06,16.423171723725957,287.8158991335172,0.37815420851627274,0.004050299483685903
Seattle,98174,Local,2050,MidCase,1,MWh,349.862631881371,0.0,0.0,0.0,0.6872620499982197,0.041830944082310306,2.673610406320497e-06,16.486751297573914,326.09872197444474,0.3023004385898644,0.002942446266283257
Seattle,98174,Local,2050,LowRECost,1,MWh,290.0007103290488,0.0,0.0,0.0,0.6937949730546563,0.04450693131646092,3.1562529987726865e-06,15.23211530486782,275.7776214540176,0.33476845595718435,0.0034336408910405182
Seattle,98174,Local,2050,HighRECost,1,MWh,385.12950738760605,0.0,0.0,0.0,0.6392500722808456,0.038061682239387946,2.168535980029015e-06,16.357096378398225,353.8674193621314,0.2185674683790764,0.002371612557116476
Seattle,98174,Local,2050,HighDemandGrowth,1,MWh,352.5509695013341,0.0,0.0,0.0,0.5821435786435938,0.03965223906811669,1.8512619929264177e-06,15.081305134222712,323.396629825726,0.2169956489334897,0.0020261483984115192
Seattle,98174,Local,2050,LowNGPrice,1,MWh,349.80936344685,0.0,0.0,0.0,0.6775108721730834,0.041199383465718276,2.651536339582132e-06,16.287847590405196,325.6595130312545,0.2846591590326362,0.0028946137003125903
Seattle,98174,Local,2050,HighNGPrice,1,MWh,302.79008546848183,0.0,0.0,0.0,0.6895322102527308,0.04538758551041714,3.033786270553237e-06,15.419076559427474,286.4474959041071,0.320835331160945,0.0033198604572318114
Seattle,98174,Local,2050,Decarb95by2050,1,MWh,296.6073488572119,0.0,0.0,0.0,0.7159542813234122,0.045181072156696256,3.305294566944724e-06,15.616229684301446,282.5149134132264,0.3411557751573283,0.003608335126597155
Seattle,98174,Local,2050,Decarb100by2035,1,MWh,302.4190510958887,0.0,0.0,0.0,0.7555361215238687,0.04561498486877782,3.5905380986766837e-06,16.28032756874764,289.3501831517484,0.36633122682753677,0.003922566079891984
Portland,97240,Local,2025,MidCase,1,MWh,69.0445693893142,0.0,0.0,0.0,0.09337781026280803,0.016237952017063163,3.4310696434036267e-07,2.6155834712713437,62.060325344837956,0.047813452037101654,0.00019002049855887154
Portland,97240,Local,2025,LowRECost,1,MWh,68.16165732178037,0.0,0.0,0.0,0.094244591704414,0.016479159308411345,3.7172645607695227e-07,2.631902713619966,61.33431224214529,0.04806009087215998,0.00020521660980999615
Portland,97240,Local,2025,HighRECost,1,MWh,70.01205768753049,0.0,0.0,0.0,0.09548917009462393,0.016353406210334154,3.717637722838621e-07,2.688880387119581,62.96498436480282,0.04775272747319276,0.00020508782442451537
Portland,97240,Local,2025,HighDemandGrowth,1,MWh,62.788249973812775,0.0,0.0,0.0,0.09148769377716846,0.018090514110668622,3.5822676215682964e-07,2.460289518196034,56.60293497409943,0.04860808655732897,0.00020162417759729255
Portland,97240,Local,2025,LowNGPrice,1,MWh,79.28019277382263,0.0,0.0,0.0,0.10338155480830541,0.01665169751642278,3.630679426189048e-07,2.978432309003799,71.14009493462729,0.046589217075108325,0.00019997578282566965
Portland,97240,Local,2025,HighNGPrice,1,MWh,54.06741153893221,0.0,0.0,0.0,0.08406274599914043,0.017501737109971105,3.710064167529819e-07,2.1964749072313654,48.91681071689625,0.05027623322810556,0.00020834701806174665
Portland,97240,Local,2025,Decarb95by2050,1,MWh,72.68537789181043,0.0,0.0,0.0,0.10011112686535537,0.016620356831885758,3.760909594952918e-07,2.8457996137343358,65.39758665537062,0.05305978952949174,0.00021074196271376986
Portland,97240,Local,2025,Decarb100by2035,1,MWh,74.28115688568576,0.0,0.0,0.0,0.10198091101254977,0.016719948781220923,3.7629893938052576e-07,2.9121876530926807,66.82222308367226,0.05410116884098403,0.0002116300216586299
