year,CO2_cumulative,N2O_cumulative,CH4_cumulative,CH4_fossil_cumulative,CO2_concentration in atm,CO2_instantaneous,N2O_concentration in atm,N2O_instantaneous,CH4_concentration in atm,CH4_instantaneous,CH4_fossil_concentration in atm,CH4_fossil_instantaneous
47.69166666666666,5.11672161340385e-14,1.406697376949777e-11,2.5563524092660125e-12,2.665569031022589e-12,0.492355854699619,8.646481919882827e-16,0.674255604020242,2.40637285059191e-13,0.021362843511821508,4.500247476163699e-15,0.021362843511821508,7.018934620302548e-15
47.7,5.117442137713106e-14,1.4068979011154787e-11,2.556389898729637e-12,2.665627508850069e-12,0.49233419329054595,8.646101514165861e-16,0.6742091692828875,2.4062071281409174e-13,0.021348491585245714,4.497224132323023e-15,0.021348491585245714,7.01581345830202e-15
47.708333333333336,5.118162630324872e-14,1.4070984114714513e-11,2.5564273630071933e-12,2.665685960676505e-12,0.49231253596734725,8.645721180202766e-16,0.6741627377434077,2.4060414171029234e-13,0.021334149300541626,4.494202819616862e-15,0.021334149300541626,7.0126943230210714e-15
47.71666666666667,5.118883091245131e-14,1.407298908018646e-11,2.556464802115602e-12,2.6657443865187804e-12,0.4922908827290823,8.645340917977025e-16,0.6741163094015823,2.4058757174771425e-13,0.021319816651231678,4.491183536680668e-15,0.021319816651231678,7.0095772131113466e-15
47.725,5.11960352047986e-14,1.4074993907580141e-11,2.5565022160717723e-12,2.665802786393767e-12,0.4922692335748108,8.644960727472124e-16,0.6740698842571909,2.4057100292627887e-13,0.02130549363084264,4.4881662821508044e-15,0.02130549363084264,7.0064621272253895e-15
47.733333333333334,5.120323918035035e-14,1.4076998596905069e-11,2.5565396048926018e-12,2.665861160318327e-12,0.4922475885035926,8.644580608671554e-16,0.6740234623100134,2.405544352459076e-13,0.02129118023290562,4.48515105466455e-15,0.02129118023290562,7.0033490640166445e-15
47.74166666666667,5.12104428391663e-14,1.4079003148170741e-11,2.5565769685949772e-12,2.6659195083093097e-12,0.4922259475144883,8.644200561558813e-16,0.6739770435598297,2.4053786870652186e-13,0.021276876450956116,4.482137852860107e-15,0.021276876450956116,7.000238022139468e-15
47.75,5.1217646181306195e-14,1.408100756138668e-11,2.5566143071957726e-12,2.6659778303835534e-12,0.492204310606558,8.643820586117402e-16,0.6739306280064193,2.40521303308043e-13,0.02126258227853393,4.479126675376585e-15,0.02126258227853393,6.997129000249105e-15
47.75833333333333,5.122484920682973e-14,1.408301183656238e-11,2.5566516207118526e-12,2.666036126557887e-12,0.4921826777788626,8.643440682330823e-16,0.6738842156495626,2.4050473905039263e-13,0.021248297709183215,4.476117520854011e-15,0.021248297709183215,6.9940219970017066e-15
47.766666666666666,5.123205191579663e-14,1.4085015973707355e-11,2.556688909160069e-12,2.666094396849125e-12,0.49216104903046326,8.643060850182592e-16,0.6738378064890389,2.40488175933492e-13,0.02123402273645245,4.4731103879333214e-15,0.02123402273645245,6.9909170110543246e-15
