year,CO2 emission intensity (kg/yr),CH4 emission intensity (kg/yr),CH4 fossil emission intensity (kg/yr),N2O emission intensity (kg/yr),atmospheric CO2 (in kg),atmospheric CH4 (in kg),atmospheric CH4 fossil (in kg),atmospheric N2O (in kg),CO2 irf (in W/m^2),CH4 irf (in W/m^2),CH4 fossil irf (in W/m^2),N2O irf (in W/m^2),CO2 crf (in W/m^2),CH4 crf (in W/m^2),CH4 fossil crf (in W/m^2),N2O crf (in W/m^2)
2070.749999999958,0.0,0.0,0.0,0.0,0.0,0.0019208908059560963,0.006384796203735544,0.0,0.0,4.0465043881945767e-16,1.352400645070996e-15,0.0,0.0,2.110388933839308e-14,9.518565487767926e-15,0.0
2070.8333333332916,0.0,0.0,0.0,0.0,0.0,0.001908024874271042,0.006342031486696166,0.0,0.0,4.0194013124443277e-16,1.3434652842400514e-15,0.0,0.0,2.113749715232339e-14,9.630888543479908e-15,0.0
2070.916666666625,0.0,0.0,0.0,0.0,0.0,0.0018952451172907711,0.006299553203391725,0.0,0.0,3.9924797703450166e-16,1.3345894253409892e-15,0.0,0.0,2.1170879864526537e-14,9.7424694964236e-15,0.0
2070.999999999958,0.0,0.0,0.0,0.0,0.0,0.0018825509578258557,0.0062573594353181345,0.0,0.0,3.965738546002671e-16,1.325772674830918e-15,0.0,0.0,2.1204038982711046e-14,9.853313288486121e-15,0.0
2071.083333333291,0.0,0.0,0.0,0.0,0.0,0.001869941822552825,0.00621544827682125,0.0,0.0,3.939176431667254e-16,1.3170146417105234e-15,0.0,0.0,2.123697600448696e-14,9.963424828866727e-15,0.0
2071.1666666666247,0.0,0.0,0.0,0.0,0.0,0.00185741714198827,0.006173817835010807,0.0,0.0,3.912792227678115e-16,1.3083149375087945e-15,0.0,0.0,2.1269692417433494e-14,1.0072808994288127e-14,0.0
2071.249999999958,0.0,0.0,0.0,0.0,0.0,0.0018449763504631237,0.0061324662296749245,0.0,0.0,3.886584742409809e-16,1.2996731762678177e-15,0.0,0.0,2.1302189699166195e-14,1.018147062920653e-14,0.0
2071.333333333291,0.0,0.0,0.0,0.0,0.0,0.001832618886097113,0.006091391593195196,0.0,0.0,3.8605527922182773e-16,1.2910889745276398e-15,0.0,0.0,2.1334469317403694e-14,1.0289414546020433e-14,0.0
2071.416666666624,0.0,0.0,0.0,0.0,0.0,0.0018203441907733828,0.0060505920704623265,0.0,0.0,3.8346952013873897e-16,1.2825619513112013e-15,0.0,0.0,2.1366532730033993e-14,1.0396645525278139e-14,0.0
2071.4999999999577,0.0,0.0,0.0,0.0,0.0,0.0018081517101132866,0.0060100658187923605,0.0,0.0,3.8090108020758425e-16,1.2740917281093377e-15,0.0,0.0,2.139838138518031e-14,1.0503168315884052e-14,0.0
2071.583333333291,0.0,0.0,0.0,0.0,0.0,0.001796040893451351,0.00596981100784345,0.0,0.0,3.7834984342644146e-16,1.2656779288658488e-15,0.0,0.0,2.1430016721266485e-14,1.0608987635303674e-14,0.0
2071.666666666624,0.0,0.0,0.0,0.0,0.0,0.0017840111938104036,0.00592982581953319,0.0,0.0,3.758156945703576e-16,1.257320179962639e-15,0.0,0.0,2.1461440167081923e-14,1.0714108169767421e-14,0.0
2071.7499999999573,0.0,0.0,0.0,0.0,0.0,0.0017720620678768695,0.005890108447956511,0.0,0.0,3.7329851918614467e-16,1.2490181102049274e-15,0.0,0.0,2.1492653141846162e-14,1.0818534574473152e-14,0.0
2071.8333333332907,0.0,0.0,0.0,0.0,0.0,0.0017601929759762333,0.005850657099304107,0.0,0.0,3.707982035872107e-16,1.2407713508065257e-15,0.0,0.0,2.1523657055272944e-14,1.0922271473787498e-14,0.0
2071.916666666624,0.0,0.0,0.0,0.0,0.0,0.0017484033820486643,0.005811469991781429,0.0,0.0,3.6831463484842473e-16,1.232579535375187e-15,0.0,0.0,2.1554453307633892e-14,1.102532346144596e-14,0.0
2071.9999999999573,0.0,0.0,0.0,0.0,0.0,0.0017366927536248068,0.0057725453555282046,0.0,0.0,3.6584770080101694e-16,1.2244422998980242e-15,0.0,0.0,2.158504328982175e-14,1.1127695100751785e-14,0.0
2072.0833333332903,0.0,0.0,0.0,0.0,0.0,0.0017250605618017298,0.005733881432538507,0.0,0.0,3.6339729002751265e-16,1.2163592827269975e-15,0.0,0.0,2.16154283834132e-14,1.1229390924773636e-14,0.0
2072.1666666666238,0.0,0.0,0.0,0.0,0.0,0.0017135062812190416,0.005695476476581355,0.0,0.0,3.609632918567001e-16,1.208330124564473e-15,0.0,0.0,2.1645609960731277e-14,1.1330415436542044e-14,0.0
2072.2499999999573,0.0,0.0,0.0,0.0,0.0,0.0017020293900351607,0.005657328753121843,0.0,0.0,3.5854559635863185e-16,1.2003544684488512e-15,0.0,0.0,2.1675589384907322e-14,1.1430773109244684e-14,0.0
2072.3333333332903,0.0,0.0,0.0,0.0,0.0,0.0016906293699037469,0.005619436539242809,0.0,0.0,3.561440943396604e-16,1.1924319597402628e-15,0.0,0.0,2.170536800994257e-14,1.1530468386420427e-14,0.0
2072.4166666666233,0.0,0.0,0.0,0.0,0.0,0.0016793057059502918,0.00558179812356701,0.0,0.0,3.537586773375061e-16,1.1845622461063384e-15,0.0,0.0,2.1734947180769283e-14,1.1629505682152215e-14,0.0
2072.499999999957,0.0,0.0,0.0,0.0,0.0,0.0016680578867488641,0.005544411806179836,0.0,0.0,3.513892376163585e-16,1.1767449775080467e-15,0.0,0.0,2.1764328233311514e-14,1.1727889381258769e-14,0.0
2072.5833333332903,0.0,0.0,0.0,0.0,0.0,0.0016568854042990119,0.005507275898552534,0.0,0.0,3.4903566816201083e-16,1.1689798061856013e-15,0.0,0.0,2.1793512494545424e-14,1.1825623839485086e-14,0.0
