"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",ddb9a205-e671-49c7-90d8-6833ab08b16b,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",23837bc6-90cf-4a3d-a0c0-715b0e441638,1,MJ
"heat production, mixed logs, at wood heater 6kW | heat, central or small-scale, other than natural gas | EN15804, U",44c88e60-0461-4d94-a201-11d25e068590,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",06df10ce-fbd4-4f7b-b9e6-a0dbba82c299,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",e3e2ce39-7898-4596-acba-c857a85832a0,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",8ce53135-a74b-4ce1-ac5b-24c084b38902,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",4a0c151d-fdc4-45e3-8efc-75b11972b1c4,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",4aa62d98-5ecf-42dd-842c-d17b051c767d,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",9a1e679e-5a15-4ec6-9387-cf0f44c2ea14,1,MJ
"heat production, wood pellet, at furnace 9kW | heat, central or small-scale, other than natural gas | EN15804, U",eeb3a489-3f38-4af3-b13b-feb1aa000e34,1,MJ
"heat production, mixed logs, at wood heater 6kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",173bd6df-1a2f-47e9-8fdf-d8f5e13962f0,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",4ffaa296-6cb2-45d1-85b1-ca73c1b6ecfb,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",463cae17-f26b-42a3-b659-69e24accec2d,1,MJ
"heat production, mixed logs, at furnace 100kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",5d6049e7-f503-48d9-8c2a-d31dc2cb5030,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",37268ed8-ae15-4bfb-a675-539e165c6336,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",e5c4086e-88f8-4d10-bf8d-6b6cb8fbbaf6,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",4e9ce3ad-f638-4288-955a-dfc2dd814b6c,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",00db038c-bc95-4ab9-8d19-3afb6dad4bd4,1,MJ
"heat production, wood chips from industry, at furnace 50kW | heat, central or small-scale, other than natural gas | EN15804, U",6260becb-a067-422f-9b58-4d100f2c563d,1,MJ
"heat production, hardwood chips from forest, at furnace 50kW | heat, central or small-scale, other than natural gas | EN15804, U",a2c833df-f560-433b-b13d-802fa16cef6a,1,MJ
"heat production, hardwood chips from forest, at furnace 50kW | heat, central or small-scale, other than natural gas | EN15804, U",13f5c076-bb78-45db-b45f-55f4ef7ffcd9,1,MJ
"operation, solar collector system, evacuated tube collector, one-family house, for combined system | heat, central or small-scale, other than natural gas | EN15804, U",d7f6bff1-6809-44f6-b51e-e6a13207d41e,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",043a7473-f059-4883-b9eb-3667622b47b1,1,MJ
"operation, solar collector system, Cu flat plate collector, one-family house, for combined system | heat, central or small-scale, other than natural gas | EN15804, U",82d28fff-7a1b-49c8-a68d-dce716cd5168,1,MJ
