"market for heat, central or small-scale, biomethane | heat, central or small-scale, biomethane | EN15804, U",260c8405-5379-483b-bc37-e25159327623,1,MJ
"market group for heat, central or small-scale, biomethane | heat, central or small-scale, biomethane | EN15804, U",70af77d5-6a1f-4a16-89e9-dd47fdd53aea,1,MJ
"wood pellets, burned in stirling heat and power co-generation unit, 3kW electrical, future | heat, future | EN15804, U",628cc6b9-cb1e-4ade-94ba-641a28080876,1,MJ
"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future | heat, future | EN15804, U",873e9f1d-db14-4417-abd2-41322cf3542f,1,MJ
"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future | heat, future | EN15804, U",02f6a029-6e7a-452c-9fea-618fb320e74b,1,MJ
"biomethane, low pressure burned in solid oxide fuel cell, with micro gas turbine, 180kWe, future | heat, future | EN15804, U",516765e2-b521-46b8-bd21-edc04029d09c,1,MJ
"biomethane, low pressure burned in solid oxide fuel cell 125kWe, future | heat, future | EN15804, U",1b05c135-c44d-494b-a2cd-ba56b7565f13,1,MJ
"biomethane, low pressure burned in solid oxide fuel cell, with micro gas turbine, 180kWe, future | heat, future | EN15804, U",919c755e-50d0-4d65-80c2-36099f96b641,1,MJ
"biomethane, low pressure burned in solid oxide fuel cell 125kWe, future | heat, future | EN15804, U",1dd969e1-2601-45b2-8aa9-b291755318d5,1,MJ
"sulfate pulp production, from softwood, bleached | bark chips, wet, measured as dry mass | EN15804, U",25cad839-cada-4218-befd-f68cadda7093,1,kg
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",2353bc13-a3fe-4b33-a71d-afc04c9fcf57,1,kg
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",4d3ae591-eca3-4754-8007-f3d5b494fca5,1,kg
"folding boxboard carton production | bark chips, wet, measured as dry mass | EN15804, U",684de428-3d7b-43ad-8eba-2e23a69d14db,1,kg
"oriented strand board production | bark chips, wet, measured as dry mass | EN15804, U",2fe11f21-4c30-4810-8030-29e067e66c48,1,kg
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",be912ab0-6b82-4479-8df6-a76cb8eb8511,1,kg
"kraft paper production | bark chips, wet, measured as dry mass | EN15804, U",a9411b1e-78f3-4346-9486-655b204022bf,1,kg
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",7e52b023-80f9-40bc-a294-29759b12fea6,1,kg
"fibreboard production, soft, from wet & dry processes | bark chips, wet, measured as dry mass | EN15804, U",9d178b27-7777-4e29-96b7-d472ed501eed,1,kg
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",e2e66f90-6698-44d0-87e2-46d4468ca6b8,1,kg
"sulfate pulp production, from softwood, unbleached | bark chips, wet, measured as dry mass | EN15804, U",20c54e1d-433c-4cb4-81df-8f2b7b70e94f,1,kg
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",57c45e75-a951-4323-8114-cb681515f6ee,1,kg
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",9b328fe4-458a-4a0d-8b81-51be997919e9,1,kg
"fibreboard production, hard | bark chips, wet, measured as dry mass | EN15804, U",325b853e-0e61-4f52-a85d-7149337d6d18,1,kg
"oriented strand board production | bark chips, wet, measured as dry mass | EN15804, U",5e79ebfc-883f-4034-b7e9-e97ec9be977a,1,kg
"fibreboard production, hard | bark chips, wet, measured as dry mass | EN15804, U",7b8a085c-adff-43df-bba5-ec3659a03714,1,kg
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",25148502-389c-48cb-ba66-c7f90d37d57c,1,kg
"sulfate pulp production, from softwood, unbleached | bark chips, wet, measured as dry mass | EN15804, U",aa9b3e2c-ad13-4e4c-b92c-a5f9238f121d,1,kg
"particleboard production, uncoated, average glue mix | bark chips, wet, measured as dry mass | EN15804, U",1a277614-c755-4822-a202-7bf93d35fc80,1,kg
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",1984a1ff-a5d9-455e-8bdb-09127d1300ec,1,kg
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",59ffdf11-68fa-4ba2-b01f-2e7eb0008a7d,1,kg
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",75c59387-8e98-4b6c-a0b2-8c101bad5ea6,1,kg
"fibreboard production, soft, from wet & dry processes | bark chips, wet, measured as dry mass | EN15804, U",c771568f-46f6-4948-a7af-1d41ad17493f,1,kg
"kraft paper production | bark chips, wet, measured as dry mass | EN15804, U",20f722f4-0f55-4c5a-8f46-89cb67b79ad0,1,kg
"debarking, softwood, in forest | bark chips, wet, measured as dry mass | EN15804, U",124744e3-df09-4e40-a566-918e40a49cc8,1,kg
"debarking, softwood, in forest | bark chips, wet, measured as dry mass | EN15804, U",d61a9253-ef6d-42ee-8d75-be15e8c1ffcb,1,kg
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",08bcc86c-29e3-4268-9e8b-bb8cf98ef5df,1,kg
"particleboard production, uncoated, average glue mix | bark chips, wet, measured as dry mass | EN15804, U",e0b7e1b5-0e8d-4edd-8b49-eb3a3054453b,1,kg
"sulfate pulp production, from softwood, bleached | bark chips, wet, measured as dry mass | EN15804, U",d29ba5a0-bb64-4c1c-a114-801886ec7e5f,1,kg
"folding boxboard carton production | bark chips, wet, measured as dry mass | EN15804, U",d20d76c3-e8a4-464f-8f17-7f0ba626785b,1,kg
"fibreboard production, soft, from wet & dry processes | bark chips, wet, measured as dry mass | EN15804, U",2e02b41f-0ee3-4992-8023-1634814fcc6a,1,kg
