Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity - GAS - Nevada Power Company,1,MJ,8dce445a-e187-3cb1-859a-6097b0edd69f,0.151692087,0.000257651,1.72E-05,1.05E-10,0.008626877,0.136641158,0.000532236,5.12E-07
"Electricity - GAS - New Harquahala Generating Company, LLC - HGBA",1,MJ,334a9001-308e-3a10-baff-5e346f0ae5d2,0.151557018,0.000232556,1.63E-05,1.57E-10,0.008187585,0.127525387,0.000853106,4.75E-07
Electricity - GAS - New York Independent System Operator,1,MJ,162fa061-a259-3ce7-970a-0498ca7188ab,0.171425792,0.000283682,2.21E-05,1.77E-10,0.009469841,0.161982691,0.000330456,6.39E-07
Electricity - GAS - NorthWestern Corporation,1,MJ,9ffb3357-2438-336d-b35b-ea45d90793b8,0.225883706,0.000908633,6.39E-05,5.79E-10,0.031168197,0.209813963,0.000563402,8.50E-07
Electricity - GAS - PacifiCorp East,1,MJ,a8f62416-04c9-3b96-99b7-361127821ed8,0.157282686,0.000259798,1.82E-05,1.75E-10,0.008567546,0.141557934,0.000555712,5.43E-07
Electricity - GAS - PacifiCorp West,1,MJ,f0907165-3c7b-32ed-beda-f4482b6b7d16,0.149645958,0.000210282,1.45E-05,1.22E-10,0.006863185,0.136907276,0.000449613,5.09E-07
"Electricity - GAS - PJM Interconnection, LLC",1,MJ,ad082c47-e5fd-355e-b565-27214cb1ed4f,0.149160397,0.000236496,1.94E-05,2.52E-10,0.007833638,0.14059881,0.000299547,5.66E-07
Electricity - GAS - Portland General Electric Company,1,MJ,b575aa8b-fc5f-35c7-bc66-4ad8e8523002,0.14889434,0.000339772,2.32E-05,1.78E-10,0.011823932,0.13404218,0.000524818,5.13E-07
Electricity - GAS - PowerSouth Energy Cooperative,1,MJ,4d0b1e41-3ea2-3108-8966-561e159fad56,0.151415286,0.000247038,1.90E-05,1.29E-10,0.008464486,0.141970259,0.000331569,5.50E-07
Electricity - GAS - Public Service Company of Colorado,1,MJ,966f14a4-1fb5-3ad5-9059-456da87e9726,0.16453409,0.000250968,2.12E-05,4.78E-10,0.008423791,0.15285283,0.000409346,6.05E-07
Electricity - GAS - Public Service Company of New Mexico,1,MJ,3075d0ce-10fe-363a-acc5-7184e14f1f44,0.166040764,0.000286031,2.13E-05,3.05E-10,0.008919459,0.152402613,0.000480235,5.85E-07
"Electricity - GAS - Puget Sound Energy, Inc.",1,MJ,6eb13f91-7fc1-3d1d-9e0d-09bb46360505,0.189007577,0.000335296,2.65E-05,4.92E-10,0.0112233,0.175962937,0.000457213,6.94E-07
Electricity - GAS - Salt River Project Agricultural Improvement and Power District,1,MJ,e312dc43-b369-3c67-b9a8-6a82d23c7e08,0.165082494,0.000338629,2.32E-05,1.72E-10,0.011792577,0.139037111,0.000924581,5.15E-07
Electricity - GAS - Seminole Electric Cooperative,1,MJ,74c60cb1-ff13-3db2-a4dd-6434638e6cbe,0.145512054,0.000220136,1.68E-05,7.28E-11,0.007389242,0.1375043,0.000280725,5.24E-07
Electricity - GAS - South Carolina Electric & Gas Company,1,MJ,e9ebb1b4-3deb-36eb-960c-c6fb06b5b81a,0.150192784,0.000243422,1.85E-05,1.81E-10,0.007510206,0.141867507,0.000291174,5.86E-07
Electricity - GAS - South Carolina Public Service Authority,1,MJ,db6ac73a-f2b4-39be-a16b-c2291162f279,0.161248939,0.000241059,1.82E-05,6.06E-11,0.007884682,0.152362284,0.000311639,5.79E-07
"Electricity - GAS - Southern Company Services, Inc. - Trans",1,MJ,b316387a-6e0f-33e7-9e94-60ad84529a94,0.146905979,0.000260945,1.98E-05,2.85E-10,0.008617404,0.138047038,0.000310715,5.31E-07
Electricity - GAS - Southwest Power Pool,1,MJ,9e37a6ea-0bd7-3195-bcd8-7b91166c27f1,0.171380506,0.000313228,2.32E-05,3.64E-10,0.010410547,0.155027244,0.000576908,6.08E-07
Electricity - GAS - Southwestern Power Administration,1,MJ,52d223b5-d152-3b7e-9304-4b66cbead2f9,0.44414369,0.003203475,0.000826865,5.28E-08,0.102870339,0.38938452,0.001661954,7.24E-06
"Electricity - GAS - Tallahassee, City of",1,MJ,1251a574-a619-3b13-b91d-214069abb21d,0.156027582,0.000247821,1.95E-05,1.37E-10,0.00831291,0.14711036,0.000312317,5.89E-07
Electricity - GAS - Tampa Electric Company,1,MJ,4fc87a76-64a4-316e-9143-32eab172abfa,0.140127004,0.000221278,1.78E-05,1.53E-10,0.007369252,0.131958178,0.000285969,5.41E-07
Electricity - GAS - Tennessee Valley Authority,1,MJ,97e568d0-be48-3532-ae93-308b8aa2f16b,0.149456751,0.000219788,1.63E-05,1.31E-10,0.007345909,0.13771241,0.000413909,5.26E-07
Electricity - GAS - Tucson Electric Power,1,MJ,ea1ee99c-16eb-317d-be7f-780aba68167b,0.249696114,0.000600821,3.91E-05,5.05E-09,0.018921826,0.212708431,0.001311899,7.55E-07
Electricity - GAS - Turlock Irrigation District,1,MJ,261774ca-1208-3935-8b71-4d9664d17448,0.166491493,0.000220755,1.63E-05,2.26E-10,0.007199033,0.150524523,0.000564028,5.55E-07
Electricity - GAS - Western Area Power Administration - Desert Southwest Region,1,MJ,5b66ef0d-5ca9-3267-9bb8-79dc59ca39f8,0.220634534,0.000420969,5.67E-05,2.57E-09,0.012663737,0.18707149,0.001178898,9.31E-07
Electricity - GAS - Western Area Power Administration - Rocky Mountain Region,1,MJ,727cb6c7-20a7-3967-82a6-b38907a7daa5,0.163716954,0.000278916,1.93E-05,1.71E-10,0.008656585,0.145866441,0.000631694,5.38E-07
Electricity - GEOTHERMAL - Bonneville Power Administration,1,MJ,34ea2ce1-2efe-30b3-ba4c-0fa2905660a4,0.020365077,2.93E-06,1.62E-07,2.63E-15,8.15E-05,0.020339237,7.92E-07,5.78E-09
Electricity - GEOTHERMAL - California Independent System Operator,1,MJ,84b24091-18f9-34fe-9084-5403bb0be6ac,0.033073623,9.76E-05,5.85E-06,2.63E-15,8.56E-05,0.025094379,0.000284842,5.78E-09
Electricity - GEOTHERMAL - Idaho Power Company,1,MJ,6ebd8f54-323b-3491-a5c5-b2bd013b726b,0.026512158,2.35E-05,1.63E-07,2.63E-15,8.29E-05,0.023788249,9.72E-05,5.78E-09
Electricity - GEOTHERMAL - Imperial Irrigation District,1,MJ,8f475281-26df-3223-bbdb-d28ecc360324,0.03383783,3.40E-05,4.55E-07,2.63E-15,8.71E-05,0.0253618,0.000302585,5.78E-09
