Region,Technology Type,EP,AP,Particulate Matter Formation Potential,SFP,GWP,ODP,Water Consumption
ISO-NE,NGCC,0.028351776,0.415644416,0.006186455,14.57160358,465.8818896,3.85E-09,3121.868538
ISO-NE,NGCC w/ CCS,0.032285281,0.472624082,0.009019203,16.4907731,154.033488,4.57E-09,5351.245559
ISO-NE,OxyPC w/ CCS,0.05107697,0.785734507,0.137582724,15.8674305,278.6116592,3.37E-08,14637.60026
ISO-NE,SOFC Coal Conventional Gasifier w/ CCS,0.018234455,0.271322431,0.051961533,4.853592192,140.1826547,3.62E-08,5886.426906
ISO-NE,SOFC NG w/ CCS,0.023469929,0.351068142,0.011269578,11.74612724,94.89049193,3.22E-09,4605.224443
ISO-NE,SubPC w/ CCS w/ NG Aux,0.064975397,1.188651916,1.744739032,22.9990316,435.13364,1.27E-05,14036.58501
MISO,Biomass,0.260705841,4.420758309,0.225334005,143.211946,1210.242822,6.95E-05,35.39380372
MISO,Coal,0.085810585,2.647167973,0.269837007,35.16210702,1131.610753,2.53E-05,11684.37868
MISO,Natural gas,0.12187368,1.737069402,0.056069893,59.22481844,705.5777595,1.14E-05,830.3734476
MISO,Geothermal,0.003405251,0.381466865,0.010614689,0.46567025,121.580928,9.90E-12,127.4874449
MISO,Hydro,0.00018822,0.002631193,0.004161782,0.034299686,13.02128163,1.87E-09,0.575510293
MISO,Mixed,0.104566066,2.914149177,0.226778072,45.76527493,1188.455157,2.48E-05,6950.686715
MISO,Nuclear,0.022437024,0.250219171,0.013560772,2.122225482,19.98448313,6.02E-09,2119.725708
MISO,Other fossil,0.336460657,5.364613209,0.080662247,183.2480302,998.2298897,3.70E-08,0.273860883
MISO,Petroleum,0.226508377,6.383767072,0.470794723,100.2694409,1153.082761,6.23E-06,427.776805
MISO,Other fuels,0.413969645,8.60484053,3.163207951,160.0192645,1.223748285,2.69E-10,-0.020140367
MISO,Solar,0.006931308,0.100105774,0.020266012,1.139364775,22.42673897,4.81E-07,-0.021318012
MISO,Solar thermal,0.075962414,0.517367603,0.011216117,637.5450086,85.11485678,7.15E-09,-4947.835103
MISO,Wind,0.054588511,0.105143605,0.022217488,1.48371961,29.5468641,1.55E-08,0.429980852
MISO,SCPC,0.043935671,1.011987025,0.128379104,13.95471189,949.7687818,2.61E-08,8771.382387
MISO,SCPC w/ CCS,0.053107006,0.820860827,0.121281805,16.62929639,289.422444,3.20E-08,15883.97527
MISO,SubPC,0.046292655,1.062522468,0.13381196,14.71889933,991.1349137,2.69E-08,9275.638503
MISO,SubPC w/ CCS,0.054980324,0.849569456,0.126297897,17.19375341,301.6349651,3.31E-08,16703.41163
MISO,NGCC,0.028471389,0.417397973,0.006212554,14.63307954,467.847393,3.86E-09,3135.039352
MISO,NGCC w/ CCS,0.032421489,0.47461803,0.009057254,16.56034582,154.683338,4.59E-09,5373.821863
MISO,OxyPC w/ CCS,0.051292458,0.789049433,0.13816317,15.93437341,279.7870906,3.38E-08,14699.35465
MISO,SOFC Coal Conventional Gasifier w/ CCS,0.018311384,0.272467109,0.052180753,4.874068953,140.7740696,3.63E-08,5911.261081
MISO,SOFC NG w/ CCS,0.023568946,0.352549259,0.011317123,11.79568283,95.29082428,3.23E-09,4624.653368
MISO,SubPC w/ CCS w/ NG Aux,0.065249521,1.193666705,1.75209989,23.09606194,436.96942,1.28E-05,14095.80379
Northwest,Biomass,2.59E-01,4.39E+00,2.24E-01,1.42E+02,1.20E+03,6.90E-05,3.51E+01
Northwest,Coal,7.20E-02,1.71E+00,1.32E-01,3.23E+01,1.12E+03,2.51E-05,7.51E+03
Northwest,Natural gas,9.02E-02,1.24E+00,4.77E-02,4.18E+01,6.24E+02,1.94E-06,5.93E+02
Northwest,Geothermal,3.38E-03,3.79E-01,1.05E-02,4.62E-01,1.21E+02,9.83E-12,1.27E+02
Northwest,Hydro,1.87E-04,2.61E-03,4.13E-03,3.41E-02,1.29E+01,1.86E-09,5.71E-01
Northwest,Mixed,1.03E-01,2.42E+00,1.11E-01,5.23E+01,9.55E+02,1.19E-05,5.25E+02
Northwest,Nuclear,2.22E-02,2.47E-01,1.33E-02,2.08E+00,1.97E+01,4.24E-09,2.88E+03
Northwest,Other fossil,3.34E-01,5.33E+00,8.01E-02,1.82E+02,9.91E+02,3.68E-08,2.72E-01
Northwest,Petroleum,2.25E-01,6.34E+00,4.68E-01,9.96E+01,1.15E+03,6.19E-06,4.25E+02
Northwest,Other fuels,4.11E-01,8.54E+00,3.14E+00,1.59E+02,1.22E+00,2.67E-10,-2.00E-02
Northwest,Solar,6.88E-03,9.94E-02,2.01E-02,1.13E+00,2.23E+01,4.78E-07,-2.12E-02
Northwest,Solar thermal,7.54E-02,5.14E-01,1.11E-02,6.33E+02,8.45E+01,7.10E-09,-4.91E+03
Northwest,Wind,5.42E-02,1.04E-01,2.21E-02,1.47E+00,2.93E+01,1.54E-08,4.27E-01
Northwest,SCPC,4.36E-02,1.00E+00,1.27E-01,1.39E+01,9.43E+02,2.59E-08,8.71E+03
Northwest,SCPC w/ CCS,5.27E-02,8.15E-01,1.20E-01,1.65E+01,2.87E+02,3.18E-08,1.58E+04
Northwest,SubPC,4.60E-02,1.06E+00,1.33E-01,1.46E+01,9.84E+02,2.68E-08,9.21E+03
Northwest,SubPC w/ CCS,5.46E-02,8.44E-01,1.25E-01,1.71E+01,3.00E+02,3.29E-08,1.66E+04
Northwest,NGCC,2.83E-02,4.14E-01,6.17E-03,1.45E+01,4.65E+02,3.84E-09,3.11E+03
Northwest,NGCC w/ CCS,3.22E-02,4.71E-01,8.99E-03,1.64E+01,1.54E+02,4.56E-09,5.34E+03
Northwest,OxyPC w/ CCS,5.09E-02,7.84E-01,1.37E-01,1.58E+01,2.78E+02,3.36E-08,1.46E+04
Northwest,SOFC Coal Conventional Gasifier w/ CCS,1.82E-02,2.71E-01,5.18E-02,4.84E+00,1.40E+02,3.61E-08,5.87E+03
Northwest,SOFC NG w/ CCS,2.34E-02,3.50E-01,1.12E-02,1.17E+01,9.46E+01,3.21E-09,4.59E+03
