name,UUID,declared_qty,declared_unit,conversion_factor,converted_unit
"blow moulding | blow moulding | EN15804, U",e3716672-40aa-4da2-bff5-aae3d33ae904,1,kg,6.12,MJ
"three and five layered board production | wood chips, dry, measured as dry mass | EN15804, U",794cc5d8-1528-47f7-93a8-4865d40594ff,1,kg,20.4,MJ
"three and five layered board production | wood chips, dry, measured as dry mass | EN15804, U",7fe25597-9aea-4cf8-894f-777dd2e6b28f,1,kg,20.4,MJ
"wood cladding production, softwood | wood chips, dry, measured as dry mass | EN15804, U",47b69701-a80e-4ab7-bc64-f9537e899f7a,1,kg,20.4,MJ
"wood cladding production, softwood | wood chips, dry, measured as dry mass | EN15804, U",a080d98a-4c38-4941-9360-06252fd83ea2,1,kg,20.4,MJ
"biogas purification to biomethane by amino washing | biomethane, high pressure | EN15804, U",475acd16-ed1d-4af3-aabf-af99ba659468,1,m3,34.45,MJ
"biogas purification to biomethane by amino washing | biomethane, high pressure | EN15804, U",25055a72-8e64-42b7-a18c-3a0397f63ca4,1,m3,34.45,MJ
"biogas purification to biomethane by membrane technique | biomethane, high pressure | EN15804, U",c2a00b2b-a9d1-4134-9617-937cdcd9f141,1,m3,34.45,MJ
"biogas purification to biomethane by membrane technique | biomethane, high pressure | EN15804, U",034f6766-5e72-480a-a2bf-ed8412127b24,1,m3,34.45,MJ
"biogas purification to biomethane by pressure swing adsorption | biomethane, high pressure | EN15804, U",f3593937-7ac7-447f-8acf-3f3b3012a023,1,m3,34.45,MJ
"biogas purification to biomethane by pressure swing adsorption | biomethane, high pressure | EN15804, U",b83da472-bd68-4b65-a9d2-d18cb3e139e4,1,m3,34.45,MJ
"biomethane production, high pressure from synthetic gas, wood, fixed bed technology | biomethane, high pressure | EN15804, U",3f829e7a-555a-4f99-adb7-6299a4a4ed56,1,m3,34.45,MJ
"biomethane production, high pressure from synthetic gas, wood, fixed bed technology | biomethane, high pressure | EN15804, U",c9c057b6-a355-4aac-ae5a-249a1f843c51,1,m3,34.45,MJ
"biomethane production, high pressure from synthetic gas, wood, fluidised technology | biomethane, high pressure | EN15804, U",70771e00-5d66-4ae5-aa56-ca72f25c2ecb,1,m3,34.45,MJ
"biomethane production, high pressure from synthetic gas, wood, fluidised technology | biomethane, high pressure | EN15804, U",5a3d133e-e964-42bf-ae94-11cb648c4a11,1,m3,34.45,MJ
"market for biomethane, high pressure | biomethane, high pressure | EN15804, U",4d313168-39ac-4029-b280-055aed7b81db,1,m3,34.45,MJ
"market for biomethane, high pressure | biomethane, high pressure | EN15804, U",b2c8d806-f750-43ff-a5c7-139db5dbe9d0,1,m3,34.45,MJ
"biomethane production, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",55729ccf-fa1d-4069-945e-8b62458ae02c,1,kg,46.5,MJ
"biomethane production, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",e7a75aab-34a2-4250-b781-42cc1e23842b,1,kg,46.5,MJ
"market for biomethane, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",5af8ef89-d8ab-4971-8deb-c4114eec5c6c,1,kg,46.5,MJ
"market for biomethane, high pressure, vehicle grade | biomethane, high pressure, vehicle grade | EN15804, U",9a3a355e-2ab6-41ab-bef3-38a5e367037e,1,kg,46.5,MJ
"biomethane production, medium pressure, vehicle grade | biomethane, medium pressure, vehicle grade | EN15804, U",b7eb040b-c542-4b6c-a7d5-4b5943f55de3,1,kg,46.5,MJ
"biomethane production, medium pressure, vehicle grade | biomethane, medium pressure, vehicle grade | EN15804, U",0555e745-347c-44a5-9973-cf2b3ffd884c,1,kg,46.5,MJ
"market for biomethane, medium pressure, vehicle grade | biomethane, medium pressure, vehicle grade | EN15804, U",9ff9814b-773d-4adf-9248-d491f2a7b0df,1,kg,46.5,MJ
"market for biomethane, medium pressure, vehicle grade | biomethane, medium pressure, vehicle grade | EN15804, U",4240b9ae-37ac-4386-b6fa-b06a15e3a4a7,1,kg,46.5,MJ
"biomethane production, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",19115256-dcfb-401d-b6d1-f7689ca3eaf6,1,kg,46.5,MJ
"biomethane production, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",24bedbd5-de03-47a5-be21-3137eb8ea5fc,1,kg,46.5,MJ
"market for biomethane, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",def8f2eb-993c-4704-b89b-1c13c9cb682a,1,kg,46.5,MJ
"market for biomethane, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",aee81a06-1ebc-41a7-970d-50f212e5d109,1,kg,46.5,MJ
"market for wood pellet, measured as dry mass | wood pellet, measured as dry mass | EN15804, U",dcbf451f-b6b4-4aea-8d8c-94718492347d,1,kg,18.7,MJ
"market for wood pellet, measured as dry mass | wood pellet, measured as dry mass | EN15804, U",ca74889c-8bbd-4427-9603-31184f73b73f,1,kg,18.7,MJ
"window frame production, wood, U=1.5 W/m2K | wood pellet, measured as dry mass | EN15804, U",5e320642-17f8-479c-add6-9e28177ee982,1,kg,18.7,MJ
"window frame production, wood, U=1.5 W/m2K | wood pellet, measured as dry mass | EN15804, U",c2b45f46-6d1f-4ed7-8860-cfe630e5f454,1,kg,18.7,MJ
