Process Name,UUID,Qty,Unit
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",28cb7eb5-3e39-4233-9e20-b49195f8298d,1,MJ
"electricity, high voltage, import from IN-Eastern grid | electricity, high voltage | EN15804, U",419ac3d1-577a-48b8-8ed4-0b27a23d2391,1,MJ
"electricity production, natural gas, conventional power plant | electricity, high voltage | EN15804, U",2b8c11fc-5cfd-4bfe-9554-26bcfb30a8e6,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",9301f3d1-2173-499d-9392-b77e5cc91ff1,1,MJ
"heat and power co-generation, lignite | electricity, high voltage | EN15804, U",4db5de14-24fb-4b3a-a672-b06c549c0c39,1,MJ
"electricity production, nuclear, boiling water reactor | electricity, high voltage | EN15804, U",fc1dbbd0-451a-44d9-a52e-8d34e9362cb6,1,MJ
"electricity, high voltage, import from MK | electricity, high voltage | EN15804, U",29a5aebb-4faf-4071-8d32-a94e3ec44a54,1,MJ
"electricity production, wind, 1-3MW turbine, offshore | electricity, high voltage | EN15804, U",4d436360-80f6-453a-8144-39d19d4664ab,1,MJ
"electricity production, natural gas, conventional power plant | electricity, high voltage | EN15804, U",d9448f0c-7a5d-4288-a6f9-8460fda96d8f,1,MJ
"electricity, high voltage, import from RS | electricity, high voltage | EN15804, U",9dfeacaa-be28-4e37-a49f-ef96e6534ec0,1,MJ
"electricity, high voltage, import from BG | electricity, high voltage | EN15804, U",76a49744-9cc8-4fe8-84f9-c7a7eb18a031,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",16c592aa-5882-48ed-b311-078dc6a9f302,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",0672260e-fd2d-49b3-8a60-765e0a0a35dc,1,MJ
"heat and power co-generation, lignite | electricity, high voltage | EN15804, U",c7ff168e-ce38-48a4-8282-b36b6e992d7d,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",520ecf82-7add-4364-840f-66cbf514e761,1,MJ
"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical | electricity, high voltage | EN15804, U",62114909-ffea-43ce-868a-add3b25bb716,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",d6f42559-ffa2-4bcc-a1cd-bfd1d20384f2,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",afeabdfc-4c85-4b65-851b-266f3eb3f61a,1,MJ
"electricity production, natural gas, conventional power plant | electricity, high voltage | EN15804, U",2bea57f1-0594-47bc-a62c-a8508a833551,1,MJ
"electricity, high voltage, import from CA-ON | electricity, high voltage | EN15804, U",1d94da4c-fc49-4e42-b7f0-cc836dd2a7eb,1,MJ
"electricity production, nuclear, pressure water reactor | electricity, high voltage | EN15804, U",6fea98ed-6f4d-40b4-a338-ccd6a946fdfb,1,MJ
"electricity production, solar tower power plant, 20 MW | electricity, high voltage | EN15804, U",76d2f2e4-4f93-4e4e-8d3c-e399e932e0ce,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",9326d1d4-6c9e-48d9-8ce0-08a64780f7a6,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",f96f8f8a-7bb6-4e73-b45d-5db7fff8e624,1,MJ
"heat and power co-generation, hard coal | electricity, high voltage | EN15804, U",b0c1e357-5ad7-41a3-87b3-ed105298af08,1,MJ
"heat and power co-generation, oil | electricity, high voltage | EN15804, U",873ce7da-f7db-4423-937b-ba0c14d95c04,1,MJ
"electricity, high voltage, import from AL | electricity, high voltage | EN15804, U",03b314e4-9507-4566-a768-81973fbe447b,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",6ea33e8e-94f8-48f1-9406-209733099b23,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",cb4664d2-0101-4d21-b349-7209ffedc62d,1,MJ
"treatment of blast furnace gas, in power plant | electricity, high voltage | EN15804, U",4be8ca59-5491-45cc-9bfa-2faf375f7cae,1,MJ
"electricity production, lignite | electricity, high voltage | EN15804, U",ca94a5f6-de9c-4d0a-8c98-f1d25cb0932c,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",a20a162c-84c6-44ef-9d65-cc3f55af2263,1,MJ
"market group for electricity, high voltage | electricity, high voltage | EN15804, U",51c52d43-54ba-4c24-8eef-14217b94d9ac,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",c28b3b58-22ec-4738-b779-d37e88d0c643,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",77c60bea-7b0e-45af-8abe-9ea39a3741a7,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",57e84d95-1664-4c74-87ad-4a9c167b6543,1,MJ
"treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal | electricity, high voltage | EN15804, U",d0658601-46b2-4e90-a96a-26951190e633,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",df6f24c2-6f09-467c-b595-c879c5e2855f,1,MJ
"electricity production, wind, >3MW turbine, onshore | electricity, high voltage | EN15804, U",bb7f1d88-d70f-4996-a282-f5600a3c1bcf,1,MJ
"treatment of coal gas, in power plant | electricity, high voltage | EN15804, U",73fac1fd-9fe5-416d-a3a3-47a1369a18ba,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",aef53e0f-7808-44a8-b73d-30a28e4e13d9,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",d3971df6-da2f-496c-b693-fd3ba3555416,1,MJ
"heat and power co-generation, wood chips, 6667 kW | electricity, high voltage | EN15804, U",4f6a5087-adf9-47d0-b3c2-f92c507656bc,1,MJ
"heat and power co-generation, biogas, gas engine | electricity, high voltage | EN15804, U",0665b289-a909-4404-bde2-bab4c67760a0,1,MJ
"electricity, high voltage, import from MK | electricity, high voltage | EN15804, U",0a6de979-b500-491f-bf0f-a5f0c5e5b4ba,1,MJ
"electricity production, lignite | electricity, high voltage | EN15804, U",25bc2c93-680d-4ace-be38-6bf2f33420cb,1,MJ
"treatment of blast furnace gas, in power plant | electricity, high voltage | EN15804, U",3f79ece6-006c-400c-84d6-0da0d257c6bd,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",5fb67fd0-3164-4363-9e73-d17d9d9fcfd3,1,MJ
"electricity production, nuclear, pressure water reactor | electricity, high voltage | EN15804, U",dba03b86-4757-4d5a-b790-b337fab85e57,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | EN15804, U",6e076930-0483-41e6-a9de-b5cbe1baa04b,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",0e603204-89e1-4df2-9b99-34c0d787b322,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",cd27d8c0-1d1f-434e-baf4-8c891d447110,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",0fe8d782-1b0c-4194-b351-f410efc6c6a4,1,MJ
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | electricity, high voltage | EN15804, U",a6f90315-c1f5-4a4b-871e-cec8c120d178,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",2c08a4d0-f62f-4606-9d1e-93abcc93597a,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",cca9d2bb-82c2-4733-9e80-ce731b83b69f,1,MJ
"electricity production, nuclear, pressure water reactor | electricity, high voltage | EN15804, U",5dc10131-ef9b-4a5d-99c2-2227185806be,1,MJ
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | electricity, high voltage | EN15804, U",25bc6790-b164-49dc-971b-0f7b8ad5e24e,1,MJ
"electricity production, wind, 1-3MW turbine, onshore | electricity, high voltage | EN15804, U",3a0df380-19e0-41a3-81f4-a05c994a398f,1,MJ
"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical | electricity, high voltage | EN15804, U",f969aa64-1195-4c86-8b3d-58e34ccf9716,1,MJ
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | EN15804, U",1dc7ed13-c771-4473-ae7c-1ede4e438a4e,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",434ce525-7e48-4805-b8bc-557730abbe8f,1,MJ
"electricity production, natural gas, conventional power plant | electricity, high voltage | EN15804, U",dad82363-4060-4d5c-a626-cbaa690ee128,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",001189f1-70c3-413b-9272-855a70f852ad,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",aced87e2-27fa-4147-bb7c-042f93b3a064,1,MJ
"heat and power co-generation, biogas, gas engine | electricity, high voltage | EN15804, U",d3c0fee2-ff38-4409-b8ee-b66d0e95fb2a,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",b4798975-34d0-4e21-a842-74718c2223a8,1,MJ
"electricity production, wind, >3MW turbine, onshore | electricity, high voltage | EN15804, U",91a7408f-8475-46c1-ba21-7ca5e265355b,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",ebfc7280-5599-406a-83e8-65e312c2204d,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",1b978339-dfb1-4615-836a-009ba0806e1d,1,MJ
"treatment of blast furnace gas, in power plant | electricity, high voltage | EN15804, U",b00ebda5-e9aa-4862-912c-be8899d4b9a5,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | electricity, high voltage | EN15804, U",6d9ac413-f6c9-44c1-b27e-3914d2bfcf37,1,MJ
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction | electricity, high voltage | EN15804, U",40676418-9774-4f33-a78f-60fe70a87c61,1,MJ
"electricity, high voltage, import from EE | electricity, high voltage | EN15804, U",d0b112a7-8167-4fd9-a4eb-0afddd3d2ebd,1,MJ
"electricity, high voltage, residual mix | electricity, high voltage | EN15804, U",82c241b0-22c5-4b61-8132-9f7a9606d074,1,MJ
"heat and power co-generation, natural gas, 1MW electrical, lean burn | electricity, high voltage | EN15804, U",a14bc314-cb3f-407e-8e64-f7b1a680f174,1,MJ
"electricity, high voltage, import from LU | electricity, high voltage | EN15804, U",99d7f9a3-23b8-46de-b949-db718b2942d7,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",c7693efc-48ca-410e-a9ca-dc3c6e505ea7,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",3790776c-0ea1-437c-95f4-183676f93891,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",a40e2906-a01a-4dd5-8994-e2413749a6ed,1,MJ
