Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
"Electricity - OIL - Midcontinent Independent System Operator, Inc.",1.0,MJ,6f330494-c196-3af7-b200-1748a4fb891b,0.6564116188843628,0.004030027442332212,0.0008847548761898618,5.723716779821031e-08,0.11294273346034052,0.5992190198705892,0.0016998122017910747,1.0316602016998153e-05
Electricity - WIND - Public Service Company of Colorado,1.0,MJ,95019cce-e8a7-3e81-93f4-b7742b666aad,0.0063531306053193955,0.00015691658028941523,2.048676665570481e-05,1.1322626878420244e-11,0.0036538261728721144,0.005942103222919621,1.3875468995386108e-05,2.2989213878563937e-08
Electricity - WIND - Western Area Power Administration - Rocky Mountain Region,1.0,MJ,b4c37a61-5e15-30d1-b7fe-afc98975e1d0,0.009413001967237258,2.614562516810818e-05,1.6331510830662818e-05,4.382746252537711e-12,0.00028423692093989747,0.008806598016087217,2.0491258192337838e-05,3.0542066114917004e-08
Electricity - SOLAR - Tucson Electric Power,1.0,MJ,a56ed245-05ad-3918-9b86-ac4d49d6cd89,0.0033485983306894545,9.965690472309118e-06,7.468459648285224e-07,7.104448181927057e-11,0.00016429298022896578,0.0030753353380540524,7.339515476942697e-06,1.0333102681325518e-08
Electricity - OIL - Public Service Company of New Mexico,1.0,MJ,d19fcac9-e250-3ac0-9bb0-04029268cf2d,15.00868833444569,0.04688930361238823,0.04187941362891548,3.2904168245112423e-06,0.9972570537151538,13.089778853965905,0.05059689729248578,0.00041145308705221016
Electricity - WIND - Public Service Company of New Mexico,1.0,MJ,5faa94f1-a42f-302a-a2ac-84fa0c664f34,0.005691846613885738,1.639196053061043e-05,5.902763521569967e-06,3.772403872010106e-12,0.00017359671011491686,0.0053187261707557856,1.2481964886399178e-05,1.4980548396731715e-08
Electricity - OIL - El Paso Electric Company,1.0,MJ,f42bc726-eb4d-354d-a8c4-856f860ca433,0.5118053479475229,0.004000433151574609,0.0007301862466554088,4.2527182795545824e-08,0.11843614624136241,0.46507196464675754,0.001412844305474013,7.837766683841633e-06
Electricity - WIND - El Paso Electric Company,1.0,MJ,22e991b2-93da-360a-9d59-9be3aff6845f,0.010598905031539105,2.9061154064518994e-05,2.0863115128477688e-05,4.301565624560121e-12,0.00031708875617399504,0.00992505972891343,2.2877085338083244e-05,3.780055478863388e-08
Electricity - SOLAR - Florida Power & Light Co.,1.0,MJ,c083b0a7-386c-3a2e-bd82-06bfa2017ea9,0.006861394314173913,2.0075802866077118e-05,1.5847893518278435e-06,1.43247226340236e-10,0.00033460798327754907,0.006296985385399306,1.4761377329356762e-05,2.02302787507856e-08
Electricity - SOLAR - Duke Energy Progress East,1.0,MJ,b001e77a-2477-3133-82c5-06648c008169,0.00769562314821339,2.3134868061743986e-05,1.6825100634152964e-06,1.685575289412925e-10,0.00038195451400444805,0.007069583746714058,1.7073222208252535e-05,2.4817490453905578e-08
