Status ,CLF Baselines Report Category 1,CLF Baselines Report Category 2,product,Method,Data Source,Scale Factor,Value,CLF report GWP value (kg CO2e / declared unit),Declared qty,Declared unit,Baseline method A (data source),Baseline method B (calculation),CLF data source representativeness assessment approach,Data source (short) and notes,Data Source - full,Data source(s) include additional life cycle stage info beyond A1-A3,Geography,Density,Density unit,,sctg code,FYI Transport Descriptin,waste_rate_category,eol material,DRF Category,,compressive strength (psi),weight classification,Intented Application for insulation ,Service Life [yr] for insulation material,Thickness  (m) when RSI=1 for insulation material,RSI /inch (or 25.4mm) for insulation material (m2C/W),GWP-total (AR5) [kg CO2 eq],GWP-fossil (AR5) [kg CO2 eq],GWP-biogenic (AR5) [kg CO2 eq],GWP-luluc (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP/SFP [kg O3 eq],ADP fossil (MJ),CO2 [kg],CH4 [kg],N2O [kg],Stored Biogenic Carbon?,Biomaterial Type/Species/Category,carbon fration of biomass (may use 0.5 as a default value),mositure content (%),ratio between the molecular mass of CO2 and C molecules,biamass weight percentage of product (%) (base on dry mass).,C (dry mass basis) (based on calculation),%C (dry mass basis) (based on reference),Density Needed?,Density based on mositure content [kg/unit],Density based on oven dry  [kg/unit],Biogenic Carbon Content [kg C/unit],Biogenic CO2 Content [kg CO2/unit],GWP-total - Biogenic CO2 stored [kgCO2eq],GWP-biogenic - Biogenic CO2 stored [kgCO2eq],Growth Model Type,Rotation period [yrs],Mineral Carbonation Potential,Mineral C
,Steel,Structural steel,"HSS, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3ew4wn,0.878063694,Low-20th%,"1,280",1,metric ton,N/A,N/A,N/A,"Unfabricated Steel Hollow Structural Sections,converted from the  EPD's fabricated result to unfabricated",Nucor (2021),FALSE,North Ameica,7800,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,,N/A,,,,,,1457.753018,N/A,N/A,N/A,3.175487465,0.151346332,1.49E-09,52.181987,937.7901578,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"HSS, fabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/why-steel/aisc_epd_fab-hss.pdf,1,Baseline,"1,990",1,metric ton,Industry,single,industry data,"Fabricated HSS industry-average EPD (AISC, 2021a) ",American Institute of Steel Construction (AISC). (2021).  Environmental Product Declaration - Fabricated Hollow Structural Sections; UL Environment. ,FALSE,North Ameica,7800,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1990,N/A,N/A,N/A,4.35,0.235,1.62E-09,75.6,1780,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"HSS, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3f17nb,1.017085427,High-80th%,"2,024",1,metric ton,N/A,N/A,N/A,FABRICATED HOLLOW STRUCTURAL SECTIONS,MARUICHI LEAVITT PIPE AND TUBE (2022),FALSE,North Ameica,7850,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1990,N/A,N/A,N/A,4.21,0.221,1.62E-09,71.7,1770,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"HSS, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec31297x,1.000571429,Low-20th%,"1,751",1,metric ton,N/A,N/A,N/A,FABRICATED HOLLOW STRUCTURAL SECTIONS,MARUICHI LEAVITT PIPE AND TUBE (2022),FALSE,North Ameica,7850,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1750,N/A,N/A,N/A,3.88,0.21,1.62E-09,68.8,1540,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Cold-formed steel framing,Cold-formed steel framing,CLF 2025 Material Baselines,https://buildsteel.org/wp-content/uploads/2025/09/SCS-EPD-07103_SFIA_091525.pdf,1,Baseline,"2,440",1,metric ton,Industry,single,industry data,"Cold-formed steel framing industry-average EPD (SFIA, 2021) ",Steel Framing Industry Association (SFIA). (2021). Environmental Product Declaration: Cold-Formed Steel Framing.,FALSE,North Ameica,7850,kg/m3,,332,"Structures and parts, except prefabricated buildings.",e_length,Steel,1,,N/A,,,,,,2440,N/A,N/A,N/A,5.58,0.81,3.37E-05,101,N/A,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Cold-formed steel framing,Cold-formed steel framing,CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3krwbt,1.005263158,High-80th%,"2,674",1,metric ton,N/A,N/A,N/A,Cold formed steel framing,CEMCO (2023),FALSE,North Ameica,7850,kg/m3,,332,"Structures and parts, except prefabricated buildings.",e_length,Steel,1,,N/A,,,,,,2660,N/A,N/A,N/A,11.8,10.7,1.93E-04,191,28300,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Cold-formed steel framing,Cold-formed steel framing,CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec393rja,1,Low-20th%,"1,550",1,metric ton,N/A,N/A,N/A,Steel Secondary Framing,"BlueScope Buildings North America, Inc (2024)",FALSE,North Ameica,7850,kg/m3,,332,"Structures and parts, except prefabricated buildings.",e_length,Steel,1,,N/A,,,,,,1550,N/A,N/A,N/A,5.25,4.83,4.30E-05,91.7,N/A,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Steel decking,Steel deck,CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/industry-epds/ec3172de,1.004310345,Baseline,"2,330",1,metric ton,Industry,single,industry data,"Steel deck industry-average EPD (SDI, 2022) ",Steel Deck Institute (SDI). (2022). Environmental Product Declaration - Steel Roof and Floor Deck.,FALSE,North Ameica,7800,kg/m3,,322,Flat-rolled products of iron or steel.,e_sheet_metal,Steel,1,,N/A,,,,,,2320,N/A,N/A,N/A,4.82,0.253,6.25E-10,84.7,1890,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Steel decking,Steel deck,CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3sezdg,1.00349345,High-80th%,"2,298",1,metric ton,N/A,N/A,N/A,Fabricated steel roof and floor deck,Nucor (2021),FALSE,North Ameica,7800,kg/m3,,322,Flat-rolled products of iron or steel.,e_sheet_metal,Steel,1,,N/A,,,,,,2290,N/A,N/A,N/A,5.35,0.296,3.26E-09,94.5,2140,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Steel decking,Steel deck,CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3puym4,1.024571429,Low-20th%,"1,793",1,metric ton,N/A,N/A,N/A,Steel Deck Products,New Millennium Building Systems (2024),FALSE,North Ameica,7850,kg/m3,,322,Flat-rolled products of iron or steel.,e_sheet_metal,Steel,1,,N/A,,,,,,1750,N/A,N/A,N/A,29.3,11.7,2.55E-05,130,1880,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Open-web steel joists,Open-web steel joist,CLF 2025 Material Baselines,https://steeljoist.org/wp-content/uploads/2022/02/101.1_SJI_EPD_2022-Steel-Joist_022122.pdf,1,Baseline,"1,430",1,metric ton,Industry,single,industry data,"OWSJ industry-average EPD (SJI, 2022) ",Steel Joist Institute (SJI). (2022). Environmental Product Declaration: Open Web Steel Joists and Joist Girders.,FALSE,North Ameica,N/A,N/A,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1430,N/A,N/A,N/A,3.26,0.18,2.79E-08,55.6,1630,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Open-web steel joists,Open-web steel joist,CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3he6kc,1.122641509,High-80th%,"1,190",1,metric ton,N/A,N/A,N/A,Steel Joist Products,New Millennium Building Systems (2023),FALSE,North Ameica,7800,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1060,N/A,N/A,N/A,5.93,5.6,9.53E-05,83.7,1150,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Open-web steel joists,Open-web steel joist,CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3zjceh,1.003963012,Low-20th%,760,1,metric ton,N/A,N/A,N/A,Fabricated Open-Web Steel Joists and Joist Girders,Nucor (2024),FALSE,North Ameica,7800,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,757,N/A,N/A,N/A,2.36,0.159,7.28E-06,44.7,8350,,,,No,,,,,,,,,,,,,,,,,,
,Wood,Sawn lumber,Softwood Lumber,CLF 2025 Material Baselines,https://awc.org/wp-content/uploads/2021/11/AWC_EPD_NorthAmericanSoftwoodLumber_20200605.pdf,1,Baseline,63.1,1,m3,Industry,single,industry data,"North American softwood lumber industry-average EPD (AWC & CWC, 2020e) ",American Wood Council (AWC) & Canadian Wood Council (CWC). (2020). Environmental product declaration - North American softwood lumber. UL Environment.,FALSE,North America,460,kg/m3,,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes.",e_length,Wood,2,,N/A,,,,,,63.1,63.1,0,N/A,0.52,0.25,2.80E-06,13.68,833.37,,,,Yes,,0.5,15,3.666666667,100,0.5,,Yes,529,460,230,843.3333333,-780.2333333,-843.3333333,,,,
,Wood,Sawn lumber,Softwood Lumber,N/A,N/A,#VALUE!,High-80th%,N/A,1,m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes.",e_length,Wood,2,,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,
,Wood,Sawn lumber,Softwood Lumber,N/A,N/A,#VALUE!,Low-20th%,N/A,1,m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes.",e_length,Wood,2,,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,
,Wood,Sawn lumber,"Softwood lumber, U.S. Inland Northwest",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/industry-epds/ec3uqysx,1.000700771,Baseline,71.4,1,m3,Industry,single,industry data,U.S. Inland Northwest softwood lumber industry-average EPD  (AWC 2024a) ,American Wood Council (AWC). (2024). Environmental product declaration - U.S. Inland Northwest Softwood Lumber. UL Environment.,FALSE,US  Inland Northwest,470.7,kg/m3,,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes.",e_length,Wood,2,,N/A,,,,,,71.35,71.35,0,N/A,0.74,0.23,7.74E-07,23.82,920.7,,,,Yes,,0.5,15,3.666666667,100,0.5,,Yes,541.305,470.7,235.35,862.95,-791.6,-862.95,,,,
,Wood,Sawn lumber,"Softwood lumber, U.S. Inland Northwest",N/A,N/A,#VALUE!,High-80th%,N/A,1,m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes.",e_length,Wood,2,,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,
,Wood,Sawn lumber,"Softwood lumber, U.S. Inland Northwest",N/A,N/A,#VALUE!,Low-20th%,N/A,1,m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,262,"Lumber, wood continuously shaped along any of its edges or faces, shingles and shakes.",e_length,Wood,2,,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,
