Flow,Qty,Unit,UUID,GWP,AP,EP,ODP,POCP,CO2,CH4,N2O,Elec_Qty,Elec_Unit,Elec_GWP,Elec_AP,Elec_EP,Elec_ODP,Elec_POCP,Elec_CO2,Elec_CH4,Elec_N2O
"Phenol resorcinol formaldehyde resin, at plant",1,kg,401862df-2017-386b-807e-5892047e02be,3.66262,1.57023768,0.100636905,0,55.29044408,0.00478,3.00E-05,0.0138,0,MJ,0,0,0,0,0,0,0,0
"Phenol resorcinol formaldehyde resin, neat, 60% solids",1,kg,353b477b-8319-3538-b2a4-c771e17424de,0.501513071,0.001866944,0.005942182,1.30E-08,0.056969532,0.456584842,0.001516744,9.06E-06,0.499885358,MJ,0.078788559,0.000170338,9.02E-06,1.17E-09,0.003617259,0.074559999,0.000141217,9.43E-07
"Phosphorous fertilizer, production mix, at plant",1,kg,1654c887-0b9c-3434-b9c1-371e3adb3dde,0.360463165,0.015676438,0.159537266,1.56E-09,0.02016052,0.336916316,0.000786474,5.64E-06,0.584179539,MJ,0.093872776,0.00020295,1.07E-05,1.40E-09,0.00430979,0.08883465,0.000168253,1.12E-06
"Poles, softwood, PCP treated",1,m3,43dc823c-09c5-34c3-ae26-a4bc4bcbc751,304.7314675,0.67154484,0.278363722,2.95E-05,21.88522399,300.1186763,0.140730317,0.00222074,224.9993325,MJ,32.75590048,0.070817223,0.003750984,4.88E-07,1.503855143,30.99790045,0.058709977,0.000391858
"Polyacrylonitrile, PAN: at plant",1,kg,9837ad08-84b1-4c5b-a2f2-c1b8eb07e754,8.448476319,0.022995733,0.002021802,3.90E-08,4.281265254,7.779461688,0.019881947,0.000422491,6.49893941,MJ,1.030070588,0.00222698,0.000117957,1.53E-08,0.047291539,0.974786987,0.001846245,1.23E-05
"Polybutadiene, butadiene rubber; at plant",1,kg,fa60e60f-73f0-3e20-bb3a-073e4a9469cc,2.831838092,0.005076045,0.001206951,7.51E-09,0.192152509,2.526495684,0.010698408,2.15E-05,1.254306043,MJ,0.183602274,0.000396942,2.10E-05,2.74E-09,0.008429358,0.173748391,0.000329079,2.20E-06
"Polyethylene terephthalate, PET, virgin resin, at plant, kg",1,kg,2b2f738d-2044-462f-ba56-5112ee683cb6,2.229603475,0.003613131,0.001489028,4.54E-07,0.10669516,2.002115781,0.007550336,6.00E-05,3.061094062,MJ,0.435511089,0.000941561,4.99E-05,6.49E-09,0.019994736,0.41213733,0.000780587,5.21E-06
"Polyethylene, high density, HDPE, virgin resin, at plant",1,kg,2712f03a-80fe-4a2b-9005-ca9ba99f7eb3,2.091239704,0.003953811,0.000481891,4.45E-09,0.118257744,1.817473775,0.007826675,0.000205829,1.676494018,MJ,0.206608718,0.000446682,2.37E-05,3.08E-09,0.009485607,0.195520086,0.000370315,2.47E-06
"Polyethylene, linear low-density, LLDPE, virgin resin, at plant",1,kg,1dbafde2-2bc3-405c-9726-4d92fe7d29f9,1.951404896,0.003757447,0.000473797,3.09E-09,0.114711029,1.699554721,0.007025623,0.000207876,1.199872018,MJ,0.114724458,0.000248031,1.31E-05,1.71E-09,0.005267111,0.108567229,0.000205626,1.37E-06
"Polyethylene, low-density, LDPE, virgin resin, at plant",1,kg,6a12cba1-889d-4515-90f8-89feb8d662f2,2.336469226,0.004550016,0.000522078,7.66E-09,0.136858749,2.059620889,0.00784209,0.000215578,3.688422811,MJ,0.420840387,0.000909844,4.82E-05,6.27E-09,0.01932119,0.398254001,0.000754292,5.03E-06
