Flow,Qty,Unit,UUID,GWP,AP,EP,ODP,POCP,CO2,CH4,N2O,Elec_Qty,Elec_Unit,Elec_GWP,Elec_AP,Elec_EP,Elec_ODP,Elec_POCP,Elec_CO2,Elec_CH4,Elec_N2O
"Wood Combusted, at boiler, at hardboard mill",1,kg,f3b8fc97-f519-3da0-80de-72a7d5551fda,1.837134742,0.001415568,0.000142614,3.08E-10,0.050890338,1.833763502,6.87E-05,5.46E-06,0.011594413,MJ,0.001863062,4.03E-06,2.13E-07,2.78E-11,8.55E-05,0.001763072,3.34E-06,2.23E-08
"Wood fuel, hardwood, gen at lumber mill, combusted in industrial boiler, NE-NC",1,kg,5b12a6bf-921f-3e80-9bd4-1c250a6696fb,1.875829466,0.002253081,0.001024621,3.00E-07,0.066085167,1.86692302,0.000277894,1.43E-06,0.256792261,MJ,0.041264373,8.92E-05,4.73E-06,6.15E-10,0.001894487,0.039049726,7.40E-05,4.94E-07
"Wood fuel, hardwood, generated at lumber mill, combusted in industrial boiler, SE",1,kg,8a62a285-537e-36b0-bdc3-3af4bfd205a3,2.116512917,0.002469776,0.001141317,3.39E-07,0.071399049,2.105162969,0.000360148,1.57E-06,0.387418752,MJ,0.06225496,0.000134593,7.13E-06,9.28E-10,0.002858186,0.058913754,0.000111583,7.45E-07
"Wood fuel, hardwood, generated at mill, combusted in industrial boiler, E",1,kg,a555a537-a0f1-3e54-9008-1d56c5e342a6,1.900149232,0.002303999,0.001035897,3.02E-07,0.067733129,1.890651931,0.000295689,1.75E-06,0.307146751,MJ,0.049355521,0.000106705,5.65E-06,7.35E-10,0.00226596,0.046706624,8.85E-05,5.90E-07
"Wood fuel, hardwood, purchased, combusted in industrial boiler, E",1,kg,2d43bb55-3817-37dc-a7b4-20c3304f07af,1.788331375,0.002465708,0.001016126,2.96E-07,0.074271978,1.782125779,0.000191249,4.76E-07,0.002079547,MJ,0.000334166,7.22E-07,3.83E-08,4.98E-12,1.53E-05,0.000316231,5.99E-07,4.00E-09
"Wood fuel, hardwood, purchased, combusted in industrial boiler, NE-NC",1,kg,61d04f2c-c8df-3b9c-8def-60328506efd2,1.767042242,0.002375717,0.001000517,2.96E-07,0.071165212,1.761017391,0.000189103,2.19E-08,9.56E-05,MJ,1.54E-05,3.32E-08,1.76E-09,2.29E-13,7.05E-07,1.45E-05,2.75E-08,1.84E-10
"Wood fuel, hardwood, purchased, combusted in industrial boiler, SE",1,kg,db291182-7d45-38c4-8529-a9abc78e55e9,1.761407752,0.002373035,0.001000052,2.96E-07,0.07107262,1.755388288,0.000189039,8.36E-09,3.65E-05,MJ,5.86E-06,1.27E-08,6.72E-10,8.74E-14,2.69E-07,5.55E-06,1.05E-08,7.02E-11
"Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E",1,kg,2c6df723-416e-3164-a5f1-bb97081fc64f,3.594185609,0.00468969,0.001910973,5.42E-07,0.137361036,3.568185336,0.000820262,6.21E-06,0.991962717,MJ,0.159400129,0.000344618,1.83E-05,2.38E-09,0.007318214,0.150845169,0.000285701,1.91E-06
"Wood fuel, MDF, generated on-site, combusted in industrial boiler",1,kg,2fdc10ce-f75d-30d0-b1e7-672af0eb98fe,3.194543341,0.004173201,0.001565835,4.44E-07,0.123496474,3.138388292,0.001893966,7.33E-06,2.060283086,MJ,0.331042596,0.000715704,3.79E-05,4.93E-09,0.015198486,0.313275632,0.000593344,3.96E-06
"Wood fuel, MDF, purchased, combusted in industrial boiler",1,kg,e389edf2-979a-372c-b6e0-8de8bfd28c93,1.767042242,0.002375717,0.001000517,2.96E-07,0.071165212,1.761017391,0.000189103,2.19E-08,9.56E-05,MJ,1.54E-05,3.32E-08,1.76E-09,2.29E-13,7.05E-07,1.45E-05,2.75E-08,1.84E-10
"Wood fuel, softwood, gen at lumber mill, combusted in industrial boiler, NE-NC",1,kg,66cf43e1-e3fe-36b4-8653-bb5b739b0f5e,1.76601614,0.00184338,0.000967876,2.96E-07,0.053152962,1.76,0.000189,0,0,MJ,0,0,0,0,0,0,0,0
"Wood fuel, softwood, purchased, combusted in industrial boiler, NE-NC",1,kg,3a98c0e1-2ba4-33f1-8d88-35b7f92af534,1.776576028,0.002416017,0.001007507,2.96E-07,0.072556497,1.770470235,0.000190064,2.25E-07,0.000984071,MJ,0.000158132,3.42E-07,1.81E-08,2.36E-12,7.26E-06,0.000149645,2.83E-07,1.89E-09
"Wood waste, unspecified, combusted in industrial boiler",1,kg,3455f918-4a43-3b09-b06e-7402c12b8d45,1.76101614,0.00237138,0.000999765,2.96E-07,0.071015471,1.755,0.000189,0,0,MJ,0,0,0,0,0,0,0,0
"Wood, particleboard, generated on-site, combusted in industrial boiler",1,kg,80fa4691-56d0-3019-a021-30c3b187e63e,2.469961571,0.001808226,0.00013679,2.04E-09,0.059468865,2.441398982,0.000983271,3.73E-06,0.811820864,MJ,0.130428514,0.000281982,1.49E-05,1.94E-09,0.0059881,0.123428452,0.000233773,1.56E-06
"Wood, softwood, INW, generated at lumber mill, combusted in industrial boiler",1,kg,c7aaeef5-a019-304e-959d-92fdccaf0896,1.76601614,0.00184338,0.000967876,2.96E-07,0.053152962,1.76,0.000189,0,0,MJ,0,0,0,0,0,0,0,0
"Xylenes, mixed, produced from naphtha, at plant, kg",1,kg,9fcf5696-e172-42da-a010-e8d577e2bbd7,1.10285709,0.00151433,0.002111106,1.07E-08,0.05873897,1.079591416,0.0007553,7.77E-06,0.471770344,MJ,0.075809557,0.000163898,8.68E-06,1.13E-09,0.00348049,0.071740879,0.000135877,9.07E-07
"Zinc, sheet",1,kg,7a0942f9-5fe3-3a78-aff1-9399fea7c14b,41.80013717,0.099324409,0.006677653,4.22E-07,1.756804853,39.86269555,0.064539976,0.000376827,0,MJ,0,0,0,0,0,0,0,0
"Zinc, Special High Grade",1,kg,230e8d51-1f4d-3459-be47-429b0b828add,36.96596059,0.090010995,0.006079022,3.49E-07,1.603807455,35.25869581,0.056775006,0.000343002,0,MJ,0,0,0,0,0,0,0,0
