name,UUID,product_amount,unit,GWP (AR5),AP,EP ,ODP,POCP,CO2,CH4,N20
natural gas extraction and processing - Arkla,f7770c48-8c5e-31c5-8d0c-c1a216b65ffb,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - DFO PADD 5,b5f585ea-a588-39bb-81dd-fac996980d86,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Tampa Electric Company,e596ff4f-6050-3c0b-9689-e65620b395a3,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - DFO PADD 4,f38c3ec6-e800-3722-ae22-f990273aa501,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Gulf,f744690b-98a0-3a09-bf7d-70ec6fcb4cae,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Seattle City Light,bfb38097-2bcd-3b0b-8322-30c9c40b6600,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,f03e070d-463f-3d2f-82aa-b5bffa1cabd8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Portland General Electric Company - BA,ada5f6f3-eba8-35da-9ec4-df88c836ab68,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - RFO PADD 5,ae9b0228-e29a-3e91-91fa-3855285b663c,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Permian,830a756a-1b95-38da-bc4b-86f0ca4ee07c,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans",a69192a9-0193-350f-ae7a-b24357e2838f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Idaho Power Company - BA,b62e0b13-f036-3b07-aa74-c36a6c505d1a,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - PacifiCorp East - BA,a9eed0a6-6813-3083-881a-ce9f6856fe0f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - New Harquahala Generating Company, LLC - HGBA",a33bcf89-5448-302e-bb89-7f181c41c6a5,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - South Oklahoma,02ff55dd-7b02-307d-a1cf-1d6e8ead399c,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,e4fcd21b-a651-31c8-a123-ff308a80e080,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Ohio Valley Electric Corporation,a00ea62a-baec-367d-bcef-35ab852b8f66,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,db0fc1d8-d8ca-3875-8058-f9b4b4d01ac5,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Arkoma,b0c59e83-8706-3ea9-8a4a-0c6bcd0fe2ec,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at user; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",ec6a9894-9221-34d6-9814-b0179435bac8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - El Paso Electric Company - BA,a2a22977-2b95-358b-90ca-ca7f1fbeb167,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Arizona Public Service Company - BA,b47455f1-fc68-33b2-a2a8-217485ef8bba,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Idaho Power Company,a82e7fb8-6982-311f-a910-456616f93812,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - DFO PADD 1,28a4dbbe-c940-3d65-a006-cbacbda7d2fb,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - RFO PADD 3,e66feab0-54e1-347e-bb0a-2e93dca7d48f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - ISO-NE - BA,bf2c7baa-45b5-30ae-b2a0-afe99ae2f9a5,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - DFO PADD 2,bdad9c51-928c-3577-b823-2c81a667c4fb,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - RFO PADD 4,cb4146a8-6e57-37f1-9366-0913ebe21ee4,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - NorthWestern Corporation - BA,d640a8aa-93b2-3d0e-8012-24b79ead9694,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,a9420547-6281-38fe-bb48-a32546ed849f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,c3557d8e-c91a-3e9c-bb90-47fe970a00ec,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Piceance,f7cbad89-16f4-3c18-90b9-f7340aab68e4,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - East Texas,111b690d-a86d-3388-8980-8fb6f1d1bb34,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Southwest - FERC,ccbab212-154f-3421-b714-c24346bece5b,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Florida Municipal Power Pool,df4f9548-b463-3033-9dc7-98fd2ddb11d7,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - New York Independent System Operator,f9a4fbd6-1c28-3cae-9e49-d4d48f2ac7ba,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - PowerSouth Energy Cooperative - BA,b11b441f-ee64-3f38-b52a-8ad61471cec0,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,cab7d877-234b-3e69-8b8e-240cb7196021,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - DFO PADD 3,8e59a94a-d5fe-3eeb-88a9-a5e3544951d8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; consumption mix - New Smyrna Beach, Utilities Commission of - BA",e63d16a5-d112-3572-9a5e-fab2bfcbedfd,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Gainesville Regional Utilities,d4031d82-ca6e-3548-b07c-2acd79f47a3f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Green River,5d2c8c18-5a12-39b1-8c45-376615518788,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - Public Utility District No. 2 of Grant County, Washington",b591cc47-d607-3875-97df-2b696348855b,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Turlock Irrigation District - BA,dc255d13-6512-372d-8738-48739679d529,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Anadarko,7285b97b-c655-3352-8f7f-b0709c45922b,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Southeast - FERC,f6579b75-679d-38ed-b7b8-e5026887b008,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Tennessee Valley Authority,ee71aa8d-c4d2-35b3-b515-f4f7052a3a8b,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.",d6a2dbb1-9391-3306-b712-d7706e4eadb8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,d1e20ef2-31c8-3305-969a-e008341a50e1,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Hydro-Quebec TransEnergie,ca0ea6b1-b7d8-3972-b5e7-0258f5c70365,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,c69563ec-887a-35ca-acc5-820ae0ba5f72,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Fort Worth,3bb3995c-5f0f-356d-8811-ed38be5b5def,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA",f41111d1-1668-325a-abd2-a40af161e35d,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Southwestern Power Administration - BA,ec5c89b7-509e-3fd7-9308-f51554c1b529,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Imperial Irrigation District,c9a7d4cf-7c57-3fe5-9d83-acbfb3434148,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - PowerSouth Energy Cooperative - BA,c8ef80e2-6e54-3f08-b030-d007405d48c8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",cd9c001f-0160-3ae9-82a5-81decd6beb4f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power plant construction - ngcc_const,5faf0d5f-993f-3906-bda9-b10eb58f5474,1.0,Item(s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,eb5a96ac-8afe-33f5-9d84-989feb43565e,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - PacifiCorp West - BA,afd157a1-c37c-3f33-bd41-227114c381f8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nuclear fuel extraction, prococessing, and transport",98a4522b-da0c-3239-88db-74b15ba0288d,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - RFO PADD 2,dc23b370-e5cb-30b6-8245-d5801cc0f7d5,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - Strawn,b1db8b2c-363a-3f62-914c-1f259066feb5,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - NorthWestern Corporation - BA,fdf79353-fbd3-30b4-aa15-267a212b9da4,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - California Independent System Operator,a059f167-f083-3395-b469-d71ef5f784e9,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - NaturEner Wind Watch, LLC",fdb04d8f-f47f-3ec0-9e65-c4afc66f38ed,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at user; consumption mix - Arlington Valley, LLC - AVBA - BA",c8caa143-b258-3aa7-8c7e-4615424941eb,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,ba6c7a86-9e38-357a-a11b-6fd0945a2e5e,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - PUD No. 1 of Douglas County,c714a6f6-3aa6-3607-9613-076dde33909b,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Tampa Electric Company - BA,c06b0df8-1d75-39c6-aa87-49100c889658,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - Griffith Energy, LLC",efff7f7a-91cc-3714-ab36-77e9c7f4c761,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",b42ca74f-a649-32d5-9a9f-6a9846e7af51,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - SPP - FERC,f21316ee-5206-3cb6-80ac-9516cfd74abf,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - Gila River Power, LLC",fa3c1da6-732d-3554-93ec-6e9dd02a6705,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,db982038-127d-3359-ac5b-f55f989ab875,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Western Area Power Administration - Desert Southwest Region,a09a80f0-84ca-3b65-81d9-984eb4fd5d14,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power plant construction - coal_const,5614332b-4bc3-3959-9c83-7f8eb03a734b,1.0,Item(s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at user; consumption mix - Gila River Power, LLC - BA",ade9b817-b7d6-3ede-a5f9-34572399bc89,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,b55ec9c6-062f-3cd6-aee0-940f3c589726,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - Bonneville Power Administration - BA,c3096d7d-a9c4-3a39-9814-65304089d770,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum extraction and processing - RFO PADD 1,8fe45891-8f21-3009-883c-7f3ccb47d248,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,d48a6fc0-ff40-3124-997a-ba5e7955fef2,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",ef86245c-837b-3555-b556-d1f5346f2f76,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - Arizona Public Service Company,ee9eb53a-3a0f-31cb-b1f3-ab3588e72891,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; consumption mix - Turlock Irrigation District - BA,d0481c35-49ba-3f00-9213-1b087ac9198e,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity; at grid; generation mix - Homestead, City of",f39a68dd-fd0f-3072-93da-7b3cbe6e6cff,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at grid; generation mix - El Paso Electric Company,d4a6ced3-335c-3f08-a156-725e806334d8,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - South Carolina Electric & Gas Company - BA,d217ffa6-1cbb-3253-be12-143b6349cc53,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - PJM - FERC,a2522eb7-a557-3242-8d26-042fc4b41195,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas extraction and processing - San Juan,c28e4f4e-efca-360e-9917-4062f8a1d5f0,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - OIL - PJM Interconnection, LLC",8e409c75-fa69-376b-9bbf-33ef82c74140,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Southwest Power Pool,74a81b78-f973-3640-8b98-33ecf830b528,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Los Angeles Department of Water and Power,8787fa04-1f52-3de5-8418-b26b64e09fb9,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Idaho Power Company,f72228fa-ce0a-325f-abdf-c8a6eb95964c,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - SOLAR - Midcontinent Independent System Operator, Inc.",3d9c40e8-9296-3dad-be0b-62f4a16a0042,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - Southwest Power Pool,5064f49a-38b4-3cf7-9506-a81fadd508e5,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OTHF - California Independent System Operator,a46ede0d-d1b4-3f52-a864-758e172fabab,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Imperial Irrigation District,fea76686-82ba-357e-b378-4d07a91c2f88,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - JEA,852ccb2c-9de3-3aa7-8f54-d7a3f74a8db1,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - NorthWestern Corporation,37aa97f1-0eb3-3295-acd9-814c0412e1e6,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - ISO-NE,61e61a66-c44f-3199-adbd-2e8eb658cd7c,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Duke Energy Progress East,b001e77a-2477-3133-82c5-06648c008169,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - SOLAR - PJM Interconnection, LLC",3e49a20b-f854-3f24-8d13-5196cf29ded9,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLARTHERMAL - California Independent System Operator,dbfe366e-7421-3bc2-ae89-a80329eaa30c,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Tucson Electric Power,a56ed245-05ad-3918-9b86-ac4d49d6cd89,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Duke Energy Carolinas,ce2f3242-f92a-386a-beb9-0841f682f6c7,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - OTHF - Midcontinent Independent System Operator, Inc.",7332841a-bbfe-3f64-9ef8-bd21971a5b6e,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OTHF - PacifiCorp East,f2c9e2c2-a175-39a6-9da5-b1e1fa406bc4,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - ISO-NE,98f79bbb-bc1c-3ce6-806d-3108fc991997,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - Duke Energy Progress East,dacf1e78-b58d-3c90-a9f8-9abbbe4f1dd7,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - Southwestern Power Administration,9645b753-5994-3f18-9a07-3e4206aad7ef,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - WIND - NaturEner Power Watch, LLC (GWA)",233a4cf3-6a35-34a2-9377-760b26502a82,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - Idaho Power Company,5ce6f4a5-b838-36af-9a69-a021f4b50c54,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - Western Area Power Administration - Rocky Mountain Region,b4c37a61-5e15-30d1-b7fe-afc98975e1d0,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Arizona Public Service Company,e568af3b-1916-309c-98ce-b3205df5cb32,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Southeastern Power Administration,f8c1226d-40be-3fcb-bcf3-5190846415f4,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - WIND - Puget Sound Energy, Inc.",97a1c572-6f92-3d79-a4ec-73170d62580d,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - PacifiCorp West,8795c938-7cb3-3708-b176-2ba4953c6d7a,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - California Independent System Operator,b54aca18-8060-3017-a5a6-5a06b1df6b2f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - Nevada Power Company,0a52fdfe-e9b4-35b0-add7-2c589d1a065b,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - Los Angeles Department of Water and Power,ac1c0ea8-6d4b-3a7e-b099-fbb201b51985,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - PacifiCorp East,85490328-84e8-3100-aa28-8f6310e0836d,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - Salt River Project Agricultural Improvement and Power District,d66e0e2c-0522-3d30-b0e2-0d1af159bc30,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Tampa Electric Company,cb44fafe-0b28-37b4-a46b-6e9101727fa9,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - OIL - Puget Sound Energy, Inc.",3e7a9398-55c0-3350-bd3a-27c3018ea97c,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Gainesville Regional Utilities,613ebe93-0bde-3bcb-b8b5-cb14805ad17e,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - SOLAR - Electric Reliability Council of Texas, Inc.",9cddffa0-e76d-3796-9fa7-5da2786ded16,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - OIL - Duke Energy Florida, Inc.",7a4523c1-7b2f-321f-8e86-93d1e7c7ff3f,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - Southwestern Power Administration,89c855f0-534b-3269-8234-5512dcd3a023,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - WIND - Electric Reliability Council of Texas, Inc.",72d8e4f8-88e3-319b-a78b-3a4a38401510,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - Southwest Power Pool,166c74a3-1c8d-3772-a92f-be2a45360720,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - Florida Power & Light Co.,bb66a596-83c4-3f0c-bdd3-4929c0ebe540,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - SOLAR - Duke Energy Florida, Inc.",e26837be-5875-3706-8fe0-eab6e1b3c520,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - SOLAR - Public Service Company of Colorado,581c92a4-16a3-3cb5-a67b-f8cbb1a59f43,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - WIND - Western Area Power Administration - Upper Great Plains West,620eb46e-779c-3e2c-8735-fd596a3489a9,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - El Paso Electric Company,f42bc726-eb4d-354d-a8c4-856f860ca433,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - California Independent System Operator,83e64e29-48d4-32b1-8cc5-24e3ae1e8b78,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity - OIL - Public Service Company of New Mexico,d19fcac9-e250-3ac0-9bb0-04029268cf2d,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity - WIND - NaturEner Wind Watch, LLC",3c40d33e-5dea-3965-aa3a-9aa97c0f23ae,1.0,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
