zip_code,reeds_ba,cambium_gea
2212,p131,ISONE
2215,p131,ISONE
2217,p131,ISONE
2222,p131,ISONE
2238,p131,ISONE
2241,p131,ISONE
2266,p131,ISONE
2269,p131,ISONE
2283,p131,ISONE
2284,p131,ISONE
2293,p131,ISONE
2297,p131,ISONE
2298,p131,ISONE
2301,p131,ISONE
2302,p131,ISONE
2303,p131,ISONE
2304,p131,ISONE
2305,p131,ISONE
2322,p131,ISONE
2324,p131,ISONE
2325,p131,ISONE
2327,p131,ISONE
2330,p131,ISONE
2331,p131,ISONE
2332,p131,ISONE
2333,p131,ISONE
2334,p131,ISONE
2337,p131,ISONE
2338,p131,ISONE
2339,p131,ISONE
2341,p131,ISONE
2343,p131,ISONE
2344,p131,ISONE
2345,p131,ISONE
2346,p131,ISONE
2347,p131,ISONE
2348,p131,ISONE
2349,p131,ISONE
2350,p131,ISONE
2351,p131,ISONE
2355,p131,ISONE
2356,p131,ISONE
2357,p131,ISONE
2358,p131,ISONE
2359,p131,ISONE
2360,p131,ISONE
2361,p131,ISONE
2362,p131,ISONE
2364,p131,ISONE
2366,p131,ISONE
2367,p131,ISONE
2368,p131,ISONE
2370,p131,ISONE
2375,p131,ISONE
2379,p131,ISONE
2381,p131,ISONE
2382,p131,ISONE
2420,p131,ISONE
2421,p131,ISONE
2445,p131,ISONE
2446,p131,ISONE
2447,p131,ISONE
2451,p131,ISONE
2452,p131,ISONE
2453,p131,ISONE
2454,p131,ISONE
2455,p131,ISONE
2456,p131,ISONE
2457,p131,ISONE
2458,p131,ISONE
2459,p131,ISONE
2460,p131,ISONE
2461,p131,ISONE
2462,p131,ISONE
2464,p131,ISONE
2465,p131,ISONE
2466,p131,ISONE
2467,p131,ISONE
2468,p131,ISONE
2471,p131,ISONE
2472,p131,ISONE
2474,p131,ISONE
2475,p131,ISONE
2476,p131,ISONE
2477,p131,ISONE
2478,p131,ISONE
2479,p131,ISONE
2481,p131,ISONE
2482,p131,ISONE
2492,p131,ISONE
2493,p131,ISONE
2494,p131,ISONE
2495,p131,ISONE
2532,p131,ISONE
2534,p131,ISONE
2535,p131,ISONE
2536,p131,ISONE
2537,p131,ISONE
2538,p131,ISONE
2539,p131,ISONE
2540,p131,ISONE
2541,p131,ISONE
2542,p131,ISONE
2543,p131,ISONE
2552,p131,ISONE
2553,p131,ISONE
2554,p131,ISONE
2556,p131,ISONE
2557,p131,ISONE
2558,p131,ISONE
2559,p131,ISONE
2561,p131,ISONE
2562,p131,ISONE
2563,p131,ISONE
2564,p131,ISONE
2568,p131,ISONE
2571,p131,ISONE
2574,p131,ISONE
2575,p131,ISONE
2576,p131,ISONE
2584,p131,ISONE
2601,p131,ISONE
2630,p131,ISONE
2631,p131,ISONE
2632,p131,ISONE
2633,p131,ISONE
2634,p131,ISONE
2635,p131,ISONE
2637,p131,ISONE
2638,p131,ISONE
2639,p131,ISONE
2641,p131,ISONE
2642,p131,ISONE
2643,p131,ISONE
2644,p131,ISONE
2645,p131,ISONE
2646,p131,ISONE
2647,p131,ISONE
2648,p131,ISONE
2649,p131,ISONE
2650,p131,ISONE
2651,p131,ISONE
2652,p131,ISONE
2653,p131,ISONE
2655,p131,ISONE
2657,p131,ISONE
2659,p131,ISONE
2660,p131,ISONE
2661,p131,ISONE
2662,p131,ISONE
2663,p131,ISONE
2664,p131,ISONE
2666,p131,ISONE
2667,p131,ISONE
2668,p131,ISONE
2669,p131,ISONE
2670,p131,ISONE
2671,p131,ISONE
2672,p131,ISONE
2673,p131,ISONE
2675,p131,ISONE
2702,p131,ISONE
2703,p131,ISONE
2712,p131,ISONE
2713,p131,ISONE
2714,p131,ISONE
2715,p131,ISONE
2717,p131,ISONE
2718,p131,ISONE
2719,p131,ISONE
2720,p131,ISONE
2721,p131,ISONE
2722,p131,ISONE
2723,p131,ISONE
2724,p131,ISONE
2725,p131,ISONE
2726,p131,ISONE
2738,p131,ISONE
2739,p131,ISONE
2740,p131,ISONE
2741,p131,ISONE
2742,p131,ISONE
2743,p131,ISONE
2744,p131,ISONE
2745,p131,ISONE
2746,p131,ISONE
2747,p131,ISONE
2748,p131,ISONE
2760,p131,ISONE
2761,p131,ISONE
2762,p131,ISONE
2763,p131,ISONE
2764,p131,ISONE
2766,p131,ISONE
2767,p131,ISONE
2768,p131,ISONE
2769,p131,ISONE
2770,p131,ISONE
2771,p131,ISONE
2777,p131,ISONE
2779,p131,ISONE
2780,p131,ISONE
2790,p131,ISONE
2791,p131,ISONE
2801,p133,ISONE
2802,p133,ISONE
2804,p133,ISONE
2806,p133,ISONE
2807,p133,ISONE
2808,p133,ISONE
2809,p133,ISONE
2812,p133,ISONE
2813,p133,ISONE
2814,p133,ISONE
2815,p133,ISONE
2816,p133,ISONE
2817,p133,ISONE
2818,p133,ISONE
2822,p133,ISONE
2823,p133,ISONE
2824,p133,ISONE
2825,p133,ISONE
2826,p133,ISONE
2827,p133,ISONE
2828,p133,ISONE
2829,p133,ISONE
2830,p133,ISONE
2831,p133,ISONE
2832,p133,ISONE
2833,p133,ISONE
2835,p133,ISONE
2836,p133,ISONE
