Process Name,UUID,Qty,Unit
"market for diesel, burned in agricultural machinery | diesel, burned in agricultural machinery | EN15804, U",721f5959-5a92-4835-bdbb-1a72cf9c9a32,1,MJ
"peat production | peat | EN15804, U",09b47a7f-c6de-4fba-ba61-2f2e6676da45,1,kg
"market for peat | peat | EN15804, U",ac76dd24-19e2-4612-86ec-f804c86ea0fe,1,kg
"market for peat | peat | EN15804, U",502f78ad-61d4-413a-8f46-51c44c5a2e71,1,kg
"peat production | peat | EN15804, U",f14c3b71-d8a8-4205-aa0d-73d04c91b464,1,kg
"coking | coal gas | EN15804, U",2bd6e363-ab92-4c12-bfe7-80e1cd71b75d,1,MJ
"coking | coal gas | EN15804, U",bb549703-3641-477f-acc9-63c69b3a4497,1,MJ
"market for coal gas | coal gas | EN15804, U",b7c35216-d309-4128-8b3e-57339ca11263,1,MJ
"market for coke | coke | EN15804, U",cb0f7176-20eb-4d3c-be94-6ff3eb37fdc8,1,MJ
"coking | coke | EN15804, U",d806d986-c767-4c0d-95e7-5c753006a655,1,MJ
"coking | coke | EN15804, U",4cca795a-f736-4035-83df-8435572d618d,1,MJ
"petroleum coke to generic market for coke | coke | EN15804, U",fe654457-4dc1-4586-b1b7-0be14cf7831a,1,MJ
"diesel production, petroleum refinery operation | diesel | EN15804, U",89a5c057-b443-42c1-894b-3ca172cf0d63,1,kg
"market for diesel | diesel | EN15804, U",a38e3f2d-7008-4e8e-8650-d2e627acccad,1,kg
"market for diesel | diesel | EN15804, U",0eb078b0-88f5-41c3-8391-11d56a609199,1,kg
"market for diesel | diesel | EN15804, U",27f4d405-4b88-4181-9b10-ca34596a49f7,1,kg
"petroleum refinery operation | diesel | EN15804, U",9f69ae31-79a9-4b09-8174-e6aef1a4bdda,1,kg
"diesel, import from RoW | diesel | EN15804, U",3aed0a59-fcec-4572-9225-8b67ed5ddcdd,1,kg
"diesel, import from RoW | diesel | EN15804, U",e97813cc-d207-4c65-aa38-cbeb605e832d,1,kg
"market for diesel | diesel | EN15804, U",4e9f10ca-9ece-467d-9bd5-64cb1ae0e8e5,1,kg
"market group for diesel | diesel | EN15804, U",c912688e-408b-408f-a6f9-16107351387d,1,kg
"market for diesel | diesel | EN15804, U",aef400d0-d3a7-4dc2-b829-b9f67e5de9a5,1,kg
"diesel production, petroleum refinery operation | diesel | EN15804, U",1da6614a-bf2c-4563-8dde-35f2a5826b2d,1,kg
"diesel production, petroleum refinery operation | diesel | EN15804, U",ccfe8728-8b21-429c-a8df-8b2557b80fab,1,kg
"diesel, import from RoW | diesel | EN15804, U",8817f692-3191-4afd-9312-0f45aa58221d,1,kg
"market group for diesel | diesel | EN15804, U",38d077dd-c6f1-4f2f-bc50-cb15773d95bb,1,kg
"diesel, import from RoW | diesel | EN15804, U",73d76e8d-f713-45be-b65d-6c04868ad0ca,1,kg
"diesel production, petroleum refinery operation | diesel | EN15804, U",d188bb58-fd6f-414e-b4e6-e9e31790a5cb,1,kg
"diesel production, petroleum refinery operation | diesel | EN15804, U",670912aa-57c0-45fd-9105-8bebfdeb84f9,1,kg
"market for diesel | diesel | EN15804, U",5481dd0c-28a0-4958-8044-6050094341bb,1,kg
"diesel production, petroleum refinery operation | diesel | EN15804, U",11bb79fa-e1be-4b5f-8485-7e64dc285586,1,kg
"market for diesel | diesel | EN15804, U",d0076ca5-9b8d-46bf-88a6-d3088b2505ac,1,kg
"diesel, import from RoW | diesel | EN15804, U",68af06c1-de24-4885-bd6b-d85e78fc5dc1,1,kg
"diesel production, petroleum refinery operation | diesel | EN15804, U",32d04544-c8a1-4686-b35b-4e4e9a30d833,1,kg
"market for diesel | diesel | EN15804, U",02010f96-da18-4663-8f7f-ca83a24510e9,1,kg
"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations | diesel, low-sulfur | EN15804, U",953facaa-1a76-4f78-8d87-d07ea2399cb7,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",7d5eb592-30f7-4314-9475-af55d80ca73e,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",6df79438-19e9-438e-b905-88aa073f6adc,1,kg
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | EN15804, U",65373d3f-74cd-4090-b498-1f27e26ef995,1,kg
"market group for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",1c101cf8-183d-4776-b2f7-fd817589b4ad,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",383321c2-bed1-4d9e-a858-ac2006a6220d,1,kg
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | EN15804, U",655e1216-7d47-44ff-9b38-32367616b946,1,kg
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | EN15804, U",0b9ab7e1-cdc5-4d47-8270-9bd0cbc91a49,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",1d7a916c-9a4f-4604-8ae5-1d21c1f36e52,1,kg
"diesel, low-sulfur, import from RoW | diesel, low-sulfur | EN15804, U",46e8bb2e-9dc1-4596-b578-5d39ad063935,1,kg
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | EN15804, U",61022038-4573-4e0f-af6e-ed29335bfd81,1,kg
"diesel, low-sulfur, import from Europe | diesel, low-sulfur | EN15804, U",33037c15-2301-4558-bf22-3d089b88c802,1,kg
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | EN15804, U",982b04eb-287e-4bc6-8284-ddf0712c0c44,1,kg
"market group for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",ac4083df-f2b8-4f27-b5fb-e99efe4f4e69,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",38dae3ba-b9c4-4d72-b836-0383fbcccf6c,1,kg
"diesel, low-sulfur, import from RoW | diesel, low-sulfur | EN15804, U",7ab726e8-7958-4e97-a262-52fd80eca59f,1,kg
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | EN15804, U",4f757da9-cd8d-47f5-9293-ceb4ec8934d0,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",6f08ed91-4490-432b-a733-6c5bae892eb9,1,kg
"diesel, low-sulfur, import from RoW | diesel, low-sulfur | EN15804, U",2046a592-25e3-47db-b019-8eb6b3b7a3ba,1,kg
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | EN15804, U",9580ffa9-cd3b-48fb-94d5-0fc2ea8ef825,1,kg
"diesel production, low-sulfur | diesel, low-sulfur | EN15804, U",c5aea24b-7f32-4cfb-8423-f9ad47b8c20a,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",b49a1ddd-9a18-41e8-ac04-85214f8b4175,1,kg
"diesel, low-sulfur, import from RoW | diesel, low-sulfur | EN15804, U",de5b2c3f-b517-4fc3-a91f-2a59774a6208,1,kg
"diesel, low-sulfur, import from RoW | diesel, low-sulfur | EN15804, U",4e9ec8bd-785e-4dcb-92c1-85b3ee57db77,1,kg
"market for diesel, low-sulfur | diesel, low-sulfur | EN15804, U",410b0e33-35ae-4f7c-be68-36b77e6f3679,1,kg
"market for hard coal briquettes | hard coal briquettes | EN15804, U",41c8332e-aea5-4bf1-a3bb-3660f5505805,1,MJ
"hard coal briquettes production | hard coal briquettes | EN15804, U",4ef15459-9c2f-426a-9f03-8baab807caef,1,MJ
"market for hard coal briquettes | hard coal briquettes | EN15804, U",1bb6d0f2-2d4d-4133-a0ad-5fcd94d7d4b4,1,MJ
"hard coal briquettes production | hard coal briquettes | EN15804, U",f8bcb703-2fed-487d-900c-9dceae7a95c1,1,MJ
"heavy fuel oil, import from RoW | heavy fuel oil | EN15804, U",76acb663-7914-4d32-8914-038914af6158,1,kg
